,wavelength,calspec_vega,flux_avg,reaction_fn,flux_avg_cal
0,90.0452,1.2837948985941396e-06,,,
1,90.1354,1.737429845504958e-06,,,
2,90.2258,1.8457115927189672e-06,,,
3,90.3163,1.8908290011778145e-06,,,
4,90.4068,1.934305779609724e-06,,,
5,90.4974,1.98762633820326e-06,,,
6,90.5882,2.041767129092203e-06,,,
7,90.679,2.093447057658801e-06,,,
8,90.76989999999999,2.146767616252337e-06,,,
9,90.8609,2.2009085725774026e-06,,,
10,90.952,2.255869761197876e-06,,,
11,91.04310000000001,2.3132918121406946e-06,,,
12,91.1344,2.3748155208689187e-06,,,
13,91.2258,2.4584878176788626e-06,,,
14,91.3172,2.68981698234932e-06,,,
15,91.4088,4.8866240625774395e-06,,,
16,91.5004,3.770173559079841e-05,,,
17,91.5921,0.00024388001316241574,,,
18,91.684,0.0007099017012256181,,,
19,91.77590000000001,0.001194380491319376,,,
20,91.86789999999999,0.0015930541662299152,,,
21,91.96000000000001,0.0020105951612273652,,,
22,92.0522,0.0023042684297105986,,,
23,92.14450000000001,0.0027193482857765065,,,
24,92.2368,0.0030080996152098347,,,
25,92.3293,0.003243530390020094,,,
26,92.42190000000001,0.004768498353883814,,,
27,92.5145,0.004839045695181551,,,
28,92.6073,0.003750486046402192,,,
29,92.70009999999999,0.005238539636798212,,,
30,92.79299999999999,0.007779879035918133,,,
31,92.886,0.008062888329002024,,,
32,92.9792,0.005851315796907147,,,
33,93.0724,0.004141776643331284,,,
34,93.1657,0.006247528671699323,,,
35,93.2591,0.009737153981335608,,,
36,93.3526,0.011935600890879833,,,
37,93.4462,0.012600058258045721,,,
38,93.5398,0.011730522694701484,,,
39,93.6336,0.009007072567174604,,,
40,93.72749999999999,0.005547798819730693,,,
41,93.82140000000001,0.005519087790950561,,,
42,93.9155,0.009548481119279681,,,
43,94.0097,0.013330139672206726,,,
44,94.1039,0.015454758512441907,,,
45,94.1982,0.01675085715751798,,,
46,94.2927,0.017464533237556562,,,
47,94.38719999999999,0.017694221467797616,,,
48,94.48179999999999,0.016775467191580684,,,
49,94.5765,0.01611921452435508,,,
50,94.6714,0.01646374686971666,,,
51,94.7663,0.014905146615649262,,,
52,94.8613,0.01040981333793635,,,
53,94.9564,0.00651577180882032,,,
54,95.0516,0.009113713337607562,,,
55,95.1468,0.015315304363258675,,,
56,95.2422,0.019392275871048248,,,
57,95.3377,0.021574316768843693,,,
58,95.4333,0.023961437218070203,,,
59,95.529,0.02641418442479726,,,
60,95.62469999999999,0.02857981863321757,,,
61,95.7206,0.03022044962365522,,,
62,95.81660000000001,0.030737250852203024,,,
63,95.9126,0.030934125703693804,,,
64,96.0088,0.030819281588573277,,,
65,96.10499999999999,0.03145912892167646,,,
66,96.2014,0.03224663103814501,,,
67,96.2978,0.03201694280790396,,,
68,96.3943,0.030400920496276296,,,
69,96.491,0.030327091749340895,,,
70,96.5877,0.03311616660148925,,,
71,96.6845,0.03506031727960879,,,
72,96.78150000000001,0.034929066475113124,,,
73,96.8785,0.0332556221059252,,,
74,96.9756,0.02953138493293206,,,
75,97.0728,0.022722760630554395,,,
76,97.1701,0.013420373753264547,,,
77,97.2675,0.00939262095834767,,,
78,97.3651,0.016258668673538312,,,
79,97.4627,0.02661105927628804,,,
80,97.5604,0.034297421131444794,,,
81,97.6582,0.03903885136165297,,,
82,97.7561,0.04140136042156406,,,
83,97.8541,0.04291074331801148,,,
84,97.9522,0.04440371952508376,,,
85,98.0504,0.045314270456613126,,,
86,98.14869999999999,0.04583927096409035,,,
87,98.2471,0.04680724666368541,,,
88,98.3456,0.04771779759521477,,,
89,98.4442,0.04729943650291779,,,
90,98.5428,0.04756193811190912,,,
91,98.64160000000001,0.0490220982297257,,,
92,98.7405,0.047529124733158845,,,
93,98.8395,0.0440509824797819,,,
94,98.9386,0.04100760800807707,,,
95,99.0378,0.040556436247535244,,,
96,99.1371,0.045314270456613126,,,
97,99.2365,0.0490959269766611,,,
98,99.33590000000001,0.05026897951718179,,,
99,99.4355,0.04788185906795528,,,
100,99.5352,0.04836584691775281,,,
101,99.635,0.05114671706996088,,,
102,99.73490000000001,0.05232797159991642,,,
103,99.8349,0.053402589425197156,,,
104,99.9349,0.0545838439551527,,,
105,100.0351,0.05622447494559035,,,
106,100.1354,0.05805377879808393,,,
107,100.2358,0.05943191360054112,,,
108,100.33630000000001,0.06058855674118124,,,
109,100.43690000000001,0.06105614061210907,,,
110,100.5376,0.06106434260154392,,,
111,100.6383,0.061006917833478225,,,
112,100.73920000000001,0.0614827036938409,,,
113,100.84020000000001,0.06233582985730457,,,
114,100.9413,0.06293466182222263,,,
115,101.04249999999999,0.06427177583548382,,,
116,101.1438,0.06548584374418964,,,
117,101.2452,0.06600264497273745,,,
118,101.3467,0.06712648015563816,,,
119,101.44829999999999,0.06793038896148185,,,
120,101.55,0.06902961275506714,,,
121,101.65180000000001,0.07103118549074694,,,
122,101.75370000000001,0.07166282541340441,,,
123,101.8557,0.07087532600744129,,,
124,101.95779999999999,0.06963664670942005,,,
125,102.0601,0.06757765462668541,,,
126,102.1624,0.064583500223106,,,
127,102.26480000000001,0.057495967622361865,,,
128,102.3673,0.04396074704347136,,,
129,102.46990000000001,0.02590558789618974,,,
130,102.57270000000001,0.015815697547178625,,,
131,102.67550000000001,0.026184493484050775,,,
132,102.7784,0.045191221641552315,,,
133,102.8815,0.061367859578720374,,,
134,102.9846,0.07259798773424919,,,
135,103.08779999999999,0.07879137338233366,,,
136,103.19120000000001,0.08334413346099134,,,
