,Designation,Full name,Rise time,Transit time,Set time,Max. time observable,R.A.,Dec.,Vmag,Helio. range (au),Topo.range (au),Object-Observer-Sun (deg),Object-Observer-Moon (deg),Galactic latitude (deg),OBSdate(UT)
0,602,602 Marianna (A906 DJ),09:39*,10:58,12:18,02:29,23:23:35,"+13 06'50""",12.7,2.31,1.68,117.75,34.07,-44.44,20231121
1,678,678 Fredegundis (A909 BQ),10:39,11:32,12:26,01:46,23:57:43,"+09 51'04""",12.6,2.02,1.28,124.86,36.80,-50.82,20231121
2,639,639 Latona (A907 OA),10:52,12:43,14:33,03:41,01:08:20,"+19 29'15""",12.7,2.77,1.91,143.62,56.04,-43.36,20231121
3,123,123 Brunhild (A872 OB),11:03,12:52,14:42,03:38,01:17:58,"+19 10'09""",12.7,2.42,1.53,145.84,57.71,-43.43,20231121
4,135,135 Hertha (A874 DA),11:45,12:58,14:11,02:25,01:23:26,"+12 10'12""",11.5,2.20,1.31,145.65,55.12,-50.12,20231121
5,122,122 Gerda (A872 OA),12:33,13:10,13:47,01:14,01:35:24,"+08 30'59""",12.8,3.25,2.38,147.14,56.02,-53.00,20231121
6,127,127 Johanna (A872 VB),12:05,13:33,15:00,02:54,01:58:17,"+14 25'19""",12.6,2.72,1.80,154.41,63.66,-45.62,20231121
7,509,509 Iolanda (A903 HD),12:31,13:34,14:38,02:07,02:00:01,"+10 57'06""",12.6,2.79,1.87,153.68,62.55,-48.68,20231121
8,595,595 Polyxena (A906 FL),11:41,13:38,15:36,03:54,02:04:15,"+21 23'59""",12.9,3.23,2.30,156.81,68.13,-38.59,20231121
9,21,21 Lutetia (A852 VA),12:53,13:54,14:56,02:03,02:20:12,"+10 44'44""",10.6,2.27,1.32,158.10,67.00,-46.69,20231121
10,93,93 Minerva (A867 QA),12:01,14:09,16:16,04:14,02:34:27,"+24 29'36""",12.3,2.97,2.01,163.40,75.73,-32.95,20231121
11,119,119 Althaea (A872 GA),13:05,14:11,15:17,02:12,02:36:41,"+11 14'57""",11.6,2.40,1.44,161.90,70.94,-44.17,20231121
12,132,132 Aethra (A873 LA),11:52,14:22,16:51,04:58,02:47:38,"+35 30'45""",12.3,2.43,1.47,160.04,83.04,-21.85,20231121
13,139,139 Juewa (A874 TA),12:20,14:42,17:05,04:45,03:08:22,"+31 16'25""",12.2,2.90,1.94,166.05,85.31,-23.34,20231121
14,241,241 Germania (A884 RA),12:42,14:44,16:47,04:05,03:10:17,"+22 57'41""",11.8,2.88,1.90,171.69,82.68,-29.98,20231121
15,409,409 Aspasia (A895 XC),12:50,14:45,16:40,03:49,03:10:53,"+20 38'34""",11.4,2.76,1.78,172.37,81.99,-31.78,20231121
16,154,154 Bertha (A875 VD),12:33,14:49,17:05,04:32,03:14:37,"+27 58'51""",12.6,3.40,2.42,169.48,85.38,-25.32,20231121
17,90,90 Antiope (A866 TA),13:12,14:54,16:36,03:24,03:19:57,"+17 26'26""",12.9,3.14,2.16,174.05,82.92,-32.98,20231121
18,144,144 Vibilia (A875 LA),13:28,15:00,16:33,03:05,03:26:16,"+15 26'29""",10.4,2.14,1.16,174.12,83.71,-33.51,20231121
19,895,895 Helio (A918 NA),12:34,15:06,17:39,05:04,03:32:27,"+38 00'47""",12.4,2.78,1.82,161.56,92.30,-14.98,20231121
20,363,363 Padua (A893 FD),13:34,15:23,17:11,03:36,03:48:55,"+18 58'00""",12.4,2.63,1.64,178.44,89.94,-27.25,20231121
21,481,481 Emita (A902 CB),13:42,15:24,17:06,03:24,03:49:53,"+17 29'30""",11.4,2.31,1.32,177.26,89.73,-28.14,20231121
22,182,182 Elsa (A878 CC),13:45,15:25,17:06,03:20,03:51:23,"+17 03'13""",10.8,1.96,0.977,176.69,89.94,-28.19,20231121
23,24,24 Themis (A853 GA),13:34,15:29,17:25,03:50,03:55:35,"+20 48'32""",11.4,3.07,2.09,176.89,91.96,-24.84,20231121
24,70,70 Panopaea (A861 JA),13:28,15:37,17:46,04:17,04:03:06,"+25 07'26""",12.0,2.77,1.78,172.90,94.81,-20.55,20231121
25,503,503 Evelyn (A903 BL),13:47,15:38,17:28,03:41,04:03:57,"+19 30'08""",12.2,2.38,1.39,175.10,93.49,-24.35,20231121
26,113,113 Amalthea (A871 EA),14:22,15:44,17:06,02:44,04:10:02,"+13 35'35""",11.8,2.53,1.55,171.11,93.30,-27.22,20231121
27,65,65 Cybele (A861 EB),14:08,15:45,17:21,03:12,04:10:56,"+16 12'46""",12.3,3.82,2.84,172.52,94.21,-25.34,20231121
28,346,346 Hermentaria (A892 WC),14:28,15:55,17:23,02:54,04:21:28,"+14 26'33""",10.8,2.56,1.58,169.44,96.20,-24.55,20231121
29,306,306 Unitas (A891 EA),15:07,15:56,16:45,01:37,04:21:57,"+09 25'17""",12.1,2.44,1.47,166.07,95.00,-27.57,20231121
30,358,358 Apollonia (A893 EC),14:28,16:04,17:40,03:12,04:30:17,"+16 08'38""",12.4,2.44,1.46,168.23,98.68,-21.83,20231121
31,347,347 Pariana (A892 WD),14:35,16:07,17:39,03:04,04:33:20,"+15 20'22""",12.8,2.68,1.71,167.27,99.20,-21.75,20231121
