,Designation,Full name,Rise time,Transit time,Set time,Max. time observable,R.A.,Dec.,Vmag,Helio. range (au),Topo.range (au),Object-Observer-Sun (deg),Object-Observer-Moon (deg),Galactic latitude (deg),OBSdate(UT)
0,602,602 Marianna (A906 DJ),10:01,11:20,12:38,02:37,23:21:26,"+13 00'12""",12.6,2.31,1.61,122.96,110.0,-44.29,20231115
1,678,678 Fredegundis (A909 BQ),10:57,11:54,12:50,01:52,23:55:29,"+10 07'43""",12.5,2.02,1.24,130.33,116.6,-50.37,20231115
2,639,639 Latona (A907 OA),11:16,13:09,15:02,03:45,01:10:35,"+20 08'00""",12.6,2.76,1.86,149.83,137.0,-42.67,20231115
3,123,123 Brunhild (A872 OB),11:27,13:19,15:10,03:42,01:21:00,"+19 43'31""",12.5,2.42,1.50,152.27,139.3,-42.77,20231115
4,135,135 Hertha (A874 DA),12:09,13:24,14:39,02:29,01:26:07,"+12 27'49""",11.3,2.19,1.26,152.37,138.0,-49.71,20231115
5,122,122 Gerda (A872 OA),12:55,13:36,14:18,01:23,01:38:31,"+08 49'29""",12.7,3.25,2.33,154.01,139.1,-52.49,20231115
6,127,127 Johanna (A872 VB),12:33,14:01,15:29,02:55,02:03:02,"+14 34'40""",12.5,2.73,1.77,161.59,147.0,-45.05,20231115
7,509,509 Iolanda (A903 HD),12:51,14:01,15:11,02:20,02:03:19,"+11 47'30""",12.5,2.79,1.84,160.79,145.9,-47.59,20231115
8,595,595 Polyxena (A906 FL),12:09,14:07,16:05,03:55,02:09:11,"+21 29'05""",12.8,3.23,2.27,163.44,150.6,-38.10,20231115
9,21,21 Lutetia (A852 VA),13:19,14:23,15:27,02:07,02:25:11,"+10 57'04""",10.4,2.26,1.29,165.22,150.1,-45.90,20231115
10,93,93 Minerva (A867 QA),12:30,14:38,16:46,04:15,02:40:01,"+24 48'32""",12.1,2.96,1.98,168.96,158.2,-32.08,20231115
11,119,119 Althaea (A872 GA),13:29,14:39,15:50,02:21,02:41:28,"+11 50'22""",11.5,2.40,1.42,169.03,153.9,-43.03,20231115
12,132,132 Aethra (A873 LA),12:21,14:52,17:23,05:02,02:54:44,"+36 53'22""",12.3,2.45,1.50,160.67,159.0,-19.96,20231115
13,139,139 Juewa (A874 TA),12:49,15:12,17:36,04:46,03:14:48,"+31 27'15""",12.2,2.91,1.94,166.79,165.1,-22.43,20231115
14,241,241 Germania (A884 RA),13:09,15:13,17:17,04:08,03:15:24,"+23 27'25""",11.7,2.87,1.89,174.77,166.0,-28.89,20231115
15,409,409 Aspasia (A895 XC),13:17,15:14,17:12,03:54,03:16:29,"+21 23'53""",11.3,2.76,1.77,176.84,165.8,-30.39,20231115
