,Designation,Full name,Rise time,Transit time,Set time,Max. time observable,R.A.,Dec.,Vmag,Helio. range (au),Topo.range (au),Object-Observer-Sun (deg),Object-Observer-Moon (deg),Galactic latitude (deg),OBSdate(UT)
0,914,914 Palisana (A919 NC),08:48*,10:29,12:10,01:41,20:12:40,"+17 06'54""",12.7,2.00,1.44,108.59,135.3,-9.09,20231011
1,1659,1659 Punkaharju (1940 YL),12:25,13:44,15:03,02:37,23:28:11,"+13 00'28""",12.4,2.06,1.11,155.84,148.1,-45.05,20231011
2,602,602 Marianna (A906 DJ),12:27,13:47,15:07,02:39,23:30:56,"+13 11'31""",11.9,2.31,1.36,156.45,147.6,-45.19,20231011
3,678,678 Fredegundis (A909 BQ),13:01,14:22,15:43,02:41,00:05:47,"+13 23'16""",11.7,2.06,1.08,164.43,142.1,-48.05,20231011
4,345,345 Tercidina (A892 WB),14:02,15:04,16:05,02:02,00:48:05,"+10 42'06""",11.7,2.26,1.27,174.57,135.9,-52.28,20231011
5,120,120 Lachesis (A872 GB),14:03,15:36,17:09,03:05,01:20:14,"+15 28'57""",12.6,3.27,2.29,170.25,126.7,-46.99,20231011
6,204,204 Kallisto (A879 TA),14:51,15:51,16:51,02:00,01:35:05,"+10 32'23""",13.0,2.85,1.86,171.18,125.9,-51.07,20231011
7,639,639 Latona (A907 OA),13:46,15:51,17:56,04:09,01:35:32,"+23 42'01""",12.3,2.74,1.77,161.29,119.2,-38.25,20231011
8,123,123 Brunhild (A872 OB),14:05,16:06,18:07,04:02,01:50:23,"+22 29'22""",12.4,2.45,1.49,160.51,117.0,-38.58,20231011
9,135,135 Hertha (A874 DA),14:42,16:12,17:42,02:59,01:56:36,"+14 57'05""",10.8,2.11,1.13,164.47,119.3,-45.27,20231011
10,122,122 Gerda (A872 OA),15:12,16:18,17:25,02:12,02:02:56,"+11 16'12""",12.5,3.26,2.29,164.50,119.4,-48.10,20231011
11,509,509 Iolanda (A903 HD),15:02,16:43,18:24,03:21,02:27:32,"+17 09'19""",12.6,2.78,1.83,156.85,111.6,-40.20,20231011
12,127,127 Johanna (A872 VB),15:18,16:50,18:23,03:05,02:34:51,"+15 27'14""",12.7,2.75,1.81,155.84,110.7,-40.83,20231011
13,595,595 Polyxena (A906 FL),14:59,16:56,18:53,03:53,02:40:55,"+21 14'52""",12.9,3.21,2.29,152.21,107.1,-35.09,20231011
