,Designation,Full name,Rise time,Transit time,Set time,Max. time observable,R.A.,Dec.,Vmag,Helio. range (au),Topo.range (au),Object-Observer-Sun (deg),Object-Observer-Moon (deg),Galactic latitude (deg),OBSdate(UT)
0,602,602 Marianna (A906 DJ),10:36,11:54,13:12,02:36,23:20:15,"+12 57'16""",12.4,2.31,1.53,131.17,135.8,-44.19,20231106
1,678,678 Fredegundis (A909 BQ),11:26,12:28,13:30,02:03,23:54:24,"+10 45'22""",12.3,2.03,1.17,138.98,131.3,-49.69,20231106
2,120,120 Lachesis (A872 GB),12:10,13:34,14:58,02:48,01:00:45,"+13 55'09""",12.8,3.28,2.35,155.48,116.2,-49.04,20231106
3,639,639 Latona (A907 OA),11:52,13:49,15:45,03:53,01:15:28,"+21 09'22""",12.4,2.75,1.81,158.79,109.4,-41.53,20231106
4,123,123 Brunhild (A872 OB),12:06,14:01,15:55,03:49,01:27:14,"+20 35'40""",12.3,2.43,1.47,161.60,107.4,-41.68,20231106
5,135,135 Hertha (A874 DA),12:47,14:05,15:24,02:37,01:32:05,"+13 02'44""",11.0,2.17,1.20,162.87,110.0,-48.83,20231106
6,122,122 Gerda (A872 OA),13:29,14:17,15:06,01:36,01:44:09,"+09 23'13""",12.5,3.25,2.29,164.54,109.0,-51.53,20231106
7,509,509 Iolanda (A903 HD),13:23,14:42,16:02,02:39,02:09:14,"+13 10'07""",12.3,2.79,1.80,171.67,101.8,-45.74,20231106
8,127,127 Johanna (A872 VB),13:15,14:44,16:14,02:58,02:11:10,"+14 51'01""",12.3,2.73,1.75,172.51,100.7,-44.01,20231106
9,595,595 Polyxena (A906 FL),12:52,14:51,16:49,03:56,02:17:22,"+21 34'22""",12.6,3.22,2.24,171.74,96.54,-37.28,20231106
10,21,21 Lutetia (A852 VA),14:00,15:07,16:14,02:13,02:33:47,"+11 22'25""",10.0,2.24,1.25,175.21,97.01,-44.45,20231106
11,447,447 Valentine (A899 UD),14:03,15:09,16:15,02:11,02:35:33,"+11 14'33""",12.9,2.85,1.86,175.25,96.66,-44.33,20231106
12,93,93 Minerva (A867 QA),13:13,15:22,17:31,04:18,02:48:55,"+25 12'02""",12.1,2.95,1.97,170.39,88.45,-30.75,20231106
13,119,119 Althaea (A872 GA),14:05,15:22,16:40,02:34,02:49:20,"+12 49'24""",11.2,2.39,1.40,176.60,92.94,-41.13,20231106
14,132,132 Aethra (A873 LA),13:06,15:39,18:11,05:05,03:05:34,"+38 34'37""",12.5,2.49,1.55,156.57,80.51,-17.43,20231106
15,241,241 Germania (A884 RA),13:50,15:56,18:02,04:12,03:23:12,"+24 07'36""",11.9,2.87,1.89,167.19,81.51,-27.28,20231106
16,139,139 Juewa (A874 TA),13:34,15:57,18:21,04:46,03:24:18,"+31 33'02""",12.4,2.93,1.97,161.47,79.00,-21.19,20231106
17,409,409 Aspasia (A895 XC),13:57,15:58,17:59,04:02,03:24:58,"+22 28'11""",11.5,2.76,1.78,167.82,81.65,-28.33,20231106
18,154,154 Bertha (A875 VD),13:47,16:03,18:18,04:30,03:29:33,"+27 39'31""",12.7,3.40,2.44,163.76,79.06,-23.61,20231106
19,90,90 Antiope (A866 TA),14:21,16:06,17:50,03:29,03:32:41,"+18 04'08""",13.0,3.12,2.14,167.65,81.33,-30.53,20231106
20,144,144 Vibilia (A875 LA),14:41,16:14,17:47,03:06,03:40:56,"+15 32'39""",10.5,2.12,1.14,165.81,80.27,-31.03,20231106
21,895,895 Helio (A918 NA),13:46,16:20,18:54,05:08,03:46:48,"+40 19'20""",12.6,2.79,1.88,151.66,72.37,-11.46,20231106
22,363,363 Padua (A893 FD),14:47,16:36,18:25,03:38,04:03:08,"+19 06'16""",12.8,2.62,1.67,160.36,74.14,-24.76,20231106
23,481,481 Emita (A902 CB),14:58,16:37,18:17,03:19,04:04:29,"+16 56'25""",11.9,2.31,1.35,160.18,74.46,-26.01,20231106
24,182,182 Elsa (A878 CC),14:55,16:38,18:20,03:25,04:04:57,"+17 32'57""",11.3,1.97,1.00,160.06,74.18,-25.51,20231106
25,24,24 Themis (A853 GA),14:43,16:41,18:38,03:54,04:07:46,"+21 19'13""",11.8,3.09,2.15,158.94,72.49,-22.45,20231106
26,503,503 Evelyn (A903 BL),14:59,16:50,18:41,03:41,04:17:19,"+19 31'24""",12.7,2.40,1.45,156.99,70.81,-22.01,20231106
27,70,70 Panopaea (A861 JA),14:44,16:52,19:00,04:15,04:18:59,"+24 45'14""",12.3,2.74,1.81,155.57,69.13,-18.22,20231106
28,65,65 Cybele (A861 EB),15:15,16:54,18:33,03:18,04:21:27,"+16 45'39""",12.6,3.82,2.89,156.12,70.62,-23.07,20231106
29,113,113 Amalthea (A871 EA),15:31,16:57,18:23,02:51,04:24:14,"+14 12'55""",12.1,2.54,1.61,155.28,70.70,-24.17,20231106
30,346,346 Hermentaria (A892 WC),15:40,17:07,18:34,02:53,04:34:15,"+14 22'36""",11.1,2.55,1.63,152.88,68.32,-22.17,20231106
31,306,306 Unitas (A891 EA),16:12,17:09,18:06,01:53,04:36:10,"+10 12'31""",12.3,2.42,1.50,151.67,69.11,-24.29,20231106
32,358,358 Apollonia (A893 EC),15:34,17:14,18:54,03:19,04:41:16,"+16 53'33""",12.7,2.44,1.52,151.38,66.01,-19.29,20231106
33,95,95 Arethusa (A867 WA),15:16,17:18,19:20,04:03,04:45:39,"+22 46'25""",12.0,2.63,1.72,150.04,63.62,-14.86,20231106
34,758,758 Mancunia (A912 KB),15:43,17:21,18:59,03:15,04:48:24,"+16 31'27""",12.6,2.72,1.81,149.66,64.46,-18.15,20231106
35,480,480 Hansa (A901 KB),15:39,17:29,19:18,03:39,04:55:50,"+19 18'13""",12.1,2.54,1.64,147.94,62.07,-15.08,20231106
36,498,498 Tokio (A902 XA),16:29,18:06,19:43,03:14,05:33:32,"+16 22'23""",12.9,2.51,1.68,138.86,54.01,-9.28,20231106
37,389,389 Industria (A894 EE),15:51,18:10,20:30,04:38,05:37:37,"+29 30'24""",12.3,2.68,1.87,137.48,51.15,-1.47,20231106
38,159,159 Aemilia (A876 BA),16:48,18:24,20:00,03:11,05:51:19,"+16 02'56""",13.0,2.84,2.06,134.58,49.93,-5.78,20231106
39,37,37 Fides (A855 TB),16:28,18:44,20:59*,04:01,06:11:11,"+27 43'47""",10.7,2.18,1.40,130.33,43.85,3.98,20231106
40,488,488 Kreusa (A902 MC),16:45,18:45,20:45*,03:44,06:12:22,"+22 04'30""",12.9,3.02,2.29,130.07,43.97,1.51,20231106
41,704,704 Interamnia (A910 TC),16:19,18:46,21:12*,04:10,06:13:01,"+33 10'13""",11.0,2.77,2.04,129.49,43.64,6.90,20231106
42,776,776 Berbericia (A914 BE),16:57,18:58,20:59*,03:33,06:25:26,"+22 25'44""",11.9,2.58,1.86,127.07,40.93,4.34,20231106
43,4,4 Vesta (A807 FA),17:15,19:04,20:53*,03:14,06:31:36,"+19 04'50""",7.39,2.57,1.87,125.36,39.92,4.09,20231106
44,9,9 Metis (A848 HA),16:58,19:04,21:10*,03:31,06:31:47,"+24 03'36""",9.63,2.09,1.35,125.69,39.35,6.39,20231106
45,48,48 Doris (A857 SA),17:48,19:17,20:45*,02:41,06:44:24,"+14 42'09""",12.2,2.91,2.26,121.72,37.81,4.84,20231106
46,5,5 Astraea (A845 XA),17:43,19:20,20:56*,02:46,06:47:28,"+16 13'10""",10.9,2.28,1.60,121.24,36.74,6.18,20231106
47,92,92 Undina (A867 NA),18:23,20:17,22:12*,02:06,07:45:11,"+20 29'23""",12.6,3.32,2.87,108.42,22.57,20.41,20231106
48,128,128 Nemesis (A872 WA),19:08,21:08*,23:07*,01:21,08:35:39,"+22 02'13""",12.8,2.67,2.36,97.26,10.85,31.96,20231106
49,78,78 Diana (A863 EA),19:09,21:21*,23:33*,01:21,08:48:57,"+26 29'23""",12.6,2.13,1.79,95.43,9.724,36.17,20231106
