,Designation,Full name,Rise time,Transit time,Set time,Max. time observable,R.A.,Dec.,Vmag,Helio. range (au),Topo.range (au),Object-Observer-Sun (deg),Object-Observer-Moon (deg),Galactic latitude (deg),OBSdate(UT)
0,602,602 Marianna (A906 DJ),09:46*,11:05,12:24,02:35,23:22:45,"+13 04'10""",12.7,2.31,1.65,119.46,58.99,-44.38,20231119
1,678,678 Fredegundis (A909 BQ),10:45,11:39,12:34,01:48,23:56:51,"+09 55'49""",12.5,2.02,1.27,126.66,63.72,-50.67,20231119
2,639,639 Latona (A907 OA),11:00,12:51,14:43,03:42,01:08:59,"+19 41'51""",12.7,2.76,1.89,145.69,83.65,-43.14,20231119
3,123,123 Brunhild (A872 OB),11:11,13:01,14:51,03:40,01:18:52,"+19 21'01""",12.6,2.42,1.52,147.98,85.51,-43.22,20231119
4,135,135 Hertha (A874 DA),11:53,13:06,14:20,02:27,01:24:12,"+12 15'29""",11.5,2.20,1.29,147.86,83.29,-50.00,20231119
5,122,122 Gerda (A872 OA),12:40,13:19,13:57,01:17,01:36:22,"+08 36'44""",12.8,3.25,2.36,149.41,84.29,-52.84,20231119
6,127,127 Johanna (A872 VB),12:15,13:42,15:09,02:54,01:59:47,"+14 28'13""",12.6,2.72,1.79,156.79,92.02,-45.44,20231119
7,509,509 Iolanda (A903 HD),12:37,13:43,14:49,02:11,02:01:03,"+11 13'22""",12.6,2.79,1.86,156.03,90.90,-48.33,20231119
8,595,595 Polyxena (A906 FL),11:50,13:48,15:45,03:55,02:05:50,"+21 25'45""",12.8,3.23,2.29,159.05,96.28,-38.43,20231119
9,21,21 Lutetia (A852 VA),13:01,14:04,15:06,02:04,02:21:46,"+10 48'21""",10.5,2.26,1.31,160.46,95.33,-46.45,20231119
10,93,93 Minerva (A867 QA),12:11,14:18,16:26,04:14,02:36:15,"+24 36'07""",12.2,2.96,2.00,165.42,104.0,-32.67,20231119
11,119,119 Althaea (A872 GA),13:13,14:20,15:28,02:15,02:38:13,"+11 26'17""",11.6,2.40,1.43,164.29,99.27,-43.81,20231119
12,132,132 Aethra (A873 LA),12:02,14:32,17:02,05:00,02:49:58,"+35 59'29""",12.3,2.44,1.48,160.58,110.5,-21.21,20231119
