,Designation,Full name,Rise time,Transit time,Set time,Max. time observable,R.A.,Dec.,Vmag,Helio. range (au),Topo.range (au),Object-Observer-Sun (deg),Object-Observer-Moon (deg),Galactic latitude (deg),OBSdate(UT)
0,602,602 Marianna (A906 DJ),09:21*,10:41,12:01,02:14,23:26:08,"+13 15'33""",12.8,2.31,1.73,113.57,44.35,-44.60,20231126
1,678,678 Fredegundis (A909 BQ),10:23,11:15,12:07,01:43,00:00:28,"+09 42'41""",12.7,2.02,1.33,120.50,36.81,-51.17,20231126
2,639,639 Latona (A907 OA),10:33,12:22,14:10,03:37,01:07:09,"+18 59'26""",12.8,2.77,1.95,138.46,19.84,-43.88,20231126
3,123,123 Brunhild (A872 OB),10:43,12:31,14:19,03:35,01:16:14,"+18 44'37""",12.8,2.41,1.57,140.54,17.68,-43.90,20231126
4,135,135 Hertha (A874 DA),11:25,12:37,13:48,02:23,01:22:05,"+11 59'45""",11.7,2.21,1.36,140.25,16.83,-50.36,20231126
5,122,122 Gerda (A872 OA),12:14,12:48,13:22,01:07,01:33:16,"+08 18'31""",12.9,3.25,2.42,141.53,15.74,-53.34,20231126
6,127,127 Johanna (A872 VB),11:43,13:09,14:36,02:53,01:54:52,"+14 19'17""",12.8,2.72,1.83,148.56,8.522,-46.00,20231126
7,509,509 Iolanda (A903 HD),12:14,13:12,14:10,01:55,01:57:47,"+10 19'02""",12.8,2.79,1.91,147.88,9.592,-49.47,20231126
8,595,595 Polyxena (A906 FL),11:18,13:15,15:12,03:54,02:00:36,"+21 19'31""",13.0,3.24,2.34,151.20,8.650,-38.95,20231126
9,21,21 Lutetia (A852 VA),12:30,13:31,14:32,02:01,02:16:42,"+10 38'03""",10.7,2.28,1.36,152.26,6.221,-47.20,20231126
10,93,93 Minerva (A867 QA),11:38,13:45,15:51,04:12,02:30:14,"+24 12'47""",12.4,2.97,2.03,158.05,8.192,-33.63,20231126
11,119,119 Althaea (A872 GA),12:45,13:48,14:50,02:04,02:33:10,"+10 49'03""",11.8,2.40,1.47,155.98,5.282,-45.00,20231126
12,132,132 Aethra (A873 LA),11:29,13:57,16:24,04:55,02:42:07,"+34 14'30""",12.3,2.41,1.46,157.43,18.44,-23.50,20231126
13,139,139 Juewa (A874 TA),11:55,14:18,16:40,04:44,03:03:10,"+31 03'42""",12.3,2.90,1.94,162.88,16.89,-24.11,20231126
14,241,241 Germania (A884 RA),12:19,14:21,16:22,04:02,03:06:14,"+22 32'04""",11.9,2.88,1.92,166.42,10.84,-30.87,20231126
15,409,409 Aspasia (A895 XC),12:28,14:21,16:13,03:45,03:06:26,"+20 00'31""",11.5,2.76,1.79,166.44,9.644,-32.90,20231126
16,154,154 Bertha (A875 VD),12:08,14:24,16:40,04:32,03:09:42,"+28 00'44""",12.7,3.40,2.43,165.65,15.17,-25.91,20231126
17,144,144 Vibilia (A875 LA),13:03,14:36,16:08,03:05,03:21:33,"+15 26'11""",10.6,2.15,1.18,168.55,12.54,-34.26,20231126
18,895,895 Helio (A918 NA),12:11,14:42,17:13,05:02,03:27:44,"+37 02'51""",12.4,2.78,1.82,161.90,24.66,-16.32,20231126
19,363,363 Padua (A893 FD),13:10,14:58,16:47,03:36,03:43:59,"+18 54'19""",12.5,2.64,1.65,174.89,17.99,-28.10,20231126
20,481,481 Emita (A902 CB),13:16,14:59,16:42,03:26,03:44:42,"+17 40'49""",11.5,2.31,1.32,174.45,18.07,-28.87,20231126
21,182,182 Elsa (A878 CC),13:21,15:01,16:40,03:19,03:46:29,"+16 53'53""",10.9,1.96,0.980,174.29,18.48,-29.13,20231126
22,24,24 Themis (A853 GA),13:11,15:06,17:00,03:49,03:51:14,"+20 36'31""",11.4,3.07,2.08,176.96,19.92,-25.69,20231126
23,70,70 Panopaea (A861 JA),13:03,15:12,17:21,04:17,03:57:27,"+25 10'35""",11.9,2.78,1.79,175.33,22.49,-21.40,20231126
24,503,503 Evelyn (A903 BL),13:23,15:13,17:04,03:40,03:58:56,"+19 28'35""",12.1,2.37,1.38,178.20,21.56,-25.22,20231126
25,113,113 Amalthea (A871 EA),13:58,15:19,16:40,02:42,04:04:47,"+13 25'01""",11.8,2.53,1.55,172.64,23.18,-28.31,20231126
26,65,65 Cybele (A861 EB),13:46,15:21,16:57,03:11,04:07:10,"+16 02'07""",12.3,3.82,2.84,175.21,23.46,-26.14,20231126
27,306,306 Unitas (A891 EA),14:44,15:31,16:18,01:33,04:16:40,"+09 14'22""",12.0,2.45,1.48,168.08,26.99,-28.71,20231126
28,346,346 Hermentaria (A892 WC),14:03,15:31,16:58,02:55,04:16:37,"+14 29'55""",10.7,2.57,1.58,173.06,25.87,-25.42,20231126
29,358,358 Apollonia (A893 EC),14:05,15:40,17:15,03:09,04:25:55,"+15 54'23""",12.2,2.44,1.46,172.92,27.96,-22.79,20231126
30,347,347 Pariana (A892 WD),14:10,15:42,17:15,03:05,04:28:13,"+15 26'19""",12.6,2.67,1.69,172.19,28.55,-22.66,20231126
31,95,95 Arethusa (A867 WA),13:50,15:44,17:39,03:48,04:30:18,"+20 31'01""",11.5,2.64,1.66,173.89,28.99,-19.05,20231126
32,758,758 Mancunia (A912 KB),14:11,15:48,17:25,03:13,04:33:41,"+16 19'26""",12.1,2.72,1.74,171.72,29.80,-21.08,20231126
33,480,480 Hansa (A901 KB),14:20,15:53,17:27,03:07,04:39:11,"+15 40'13""",11.6,2.53,1.55,170.26,31.16,-20.44,20231126
34,317,317 Roxane (A891 RD),14:20,16:10,18:01,03:41,04:56:16,"+19 33'26""",12.6,2.27,1.30,167.73,35.06,-14.85,20231126
35,160,160 Una (A876 DA),14:07,16:24,18:41,04:34,05:10:08,"+28 28'59""",12.7,2.55,1.59,163.18,38.99,-7.02,20231126
36,498,498 Tokio (A902 XA),14:53,16:32,18:11,03:18,05:17:59,"+16 50'16""",12.5,2.56,1.60,162.12,40.34,-12.17,20231126
37,210,210 Isabella (A879 VA),14:17,16:35,18:53,04:36,05:21:19,"+28 53'56""",12.7,2.41,1.46,160.75,41.48,-4.77,20231126
38,389,389 Industria (A894 EE),14:19,16:38,18:56,04:36,05:23:38,"+28 59'52""",11.9,2.67,1.72,160.24,41.99,-4.30,20231126
39,159,159 Aemilia (A876 BA),15:21,16:56,18:30,03:08,05:41:43,"+15 46'02""",12.6,2.83,1.90,156.35,46.11,-7.92,20231126
40,407,407 Arachne (A895 TB),14:46,17:07,19:28,04:42,05:53:16,"+30 25'15""",12.9,2.53,1.61,153.68,48.55,1.90,20231126
41,704,704 Interamnia (A910 TC),14:51,17:16,19:40,04:49,06:01:45,"+32 14'10""",10.6,2.80,1.89,151.44,50.52,4.37,20231126
42,488,488 Kreusa (A902 MC),15:15,17:18,19:21,04:05,06:04:09,"+23 04'46""",12.5,2.99,2.08,152.14,50.80,0.34,20231126
43,37,37 Fides (A855 TB),15:02,17:19,19:36,04:34,06:05:08,"+28 27'41""",10.3,2.18,1.26,151.55,51.01,3.17,20231126
44,776,776 Berbericia (A914 BE),15:23,17:31,19:39,04:15,06:17:09,"+24 45'59""",11.6,2.61,1.71,149.17,53.70,3.75,20231126
45,4,4 Vesta (A807 FA),15:47,17:38,19:28,03:41,06:23:51,"+19 31'03""",6.98,2.57,1.68,147.27,55.64,2.67,20231126
46,9,9 Metis (A848 HA),15:33,17:43,19:52,04:18,06:29:01,"+25 21'28""",9.13,2.09,1.20,146.48,56.36,6.41,20231126
47,48,48 Doris (A857 SA),16:30,17:54,19:18,02:48,06:40:09,"+13 53'11""",11.8,2.91,2.07,142.25,60.35,3.55,20231126
48,5,5 Astraea (A845 XA),16:28,18:02,19:36,03:08,06:48:07,"+15 46'00""",10.3,2.25,1.39,140.87,61.91,6.11,20231126
49,92,92 Undina (A867 NA),17:03,18:59,20:56*,03:45,07:45:45,"+21 05'36""",12.3,3.34,2.63,128.55,74.37,20.76,20231126
