,Designation,Full name,Rise time,Transit time,Set time,Max. time observable,R.A.,Dec.,Vmag,Helio. range (au),Topo.range (au),Object-Observer-Sun (deg),Object-Observer-Moon (deg),Galactic latitude (deg),OBSdate(UT)
0,914,914 Palisana (A919 NC),08:51*,10:32,12:13,01:43,20:11:35,"+17 15'16""",12.7,2.00,1.43,109.11,138.3,-8.79,20231010
1,1659,1659 Punkaharju (1940 YL),12:31,13:49,15:07,02:36,23:29:04,"+12 58'07""",12.4,2.06,1.11,156.82,137.7,-45.18,20231010
2,602,602 Marianna (A906 DJ),12:32,13:51,15:11,02:39,23:31:43,"+13 11'51""",11.8,2.31,1.36,157.38,137.1,-45.27,20231010
3,678,678 Fredegundis (A909 BQ),13:05,14:26,15:48,02:43,00:06:34,"+13 29'22""",11.7,2.06,1.08,165.18,130.8,-48.00,20231010
4,345,345 Tercidina (A892 WB),14:05,15:08,16:11,02:06,00:48:55,"+10 52'59""",11.7,2.26,1.27,174.78,123.9,-52.11,20231010
5,120,120 Lachesis (A872 GB),14:07,15:41,17:14,03:06,01:21:02,"+15 31'57""",12.6,3.27,2.29,169.36,114.9,-46.91,20231010
6,639,639 Latona (A907 OA),13:51,15:56,18:01,04:09,01:36:20,"+23 46'01""",12.3,2.74,1.78,160.42,107.6,-38.15,20231010
7,123,123 Brunhild (A872 OB),14:09,16:11,18:12,04:02,01:51:14,"+22 31'33""",12.4,2.45,1.49,159.52,105.2,-38.49,20231010
8,135,135 Hertha (A874 DA),14:47,16:17,17:47,03:00,01:57:32,"+15 00'35""",10.8,2.11,1.13,163.27,107.3,-45.13,20231010
9,122,122 Gerda (A872 OA),15:16,16:23,17:30,02:13,02:03:37,"+11 20'19""",12.5,3.26,2.29,163.34,107.5,-47.97,20231010
10,509,509 Iolanda (A903 HD),15:06,16:47,18:29,03:22,02:28:07,"+17 17'22""",12.6,2.78,1.84,155.69,99.68,-40.02,20231010
11,127,127 Johanna (A872 VB),15:22,16:55,18:28,03:05,02:35:36,"+15 27'45""",12.7,2.75,1.81,154.68,98.74,-40.73,20231010
12,595,595 Polyxena (A906 FL),15:04,17:01,18:58,03:53,02:41:40,"+21 12'50""",13.0,3.21,2.29,151.10,95.20,-35.04,20231010
13,21,21 Lutetia (A852 VA),16:00,17:18,18:35,02:34,02:58:26,"+12 49'00""",10.6,2.20,1.27,149.94,94.56,-39.83,20231010
14,119,119 Althaea (A872 GA),15:55,17:29,19:02,03:07,03:09:24,"+15 40'15""",11.9,2.38,1.48,146.78,91.07,-35.94,20231010
15,93,93 Minerva (A867 QA),15:22,17:32,19:41,04:19,03:12:36,"+25 24'59""",12.6,2.92,2.06,142.87,87.07,-27.67,20231010
16,241,241 Germania (A884 RA),15:50,18:00,20:09*,04:15,03:40:32,"+25 15'42""",12.4,2.84,2.03,137.09,81.12,-23.91,20231010
17,409,409 Aspasia (A895 XC),15:55,18:03,20:11*,04:10,03:43:46,"+24 44'40""",12.0,2.76,1.95,136.56,80.57,-23.82,20231010
18,139,139 Juewa (A874 TA),15:42,18:04,20:25*,04:23,03:44:43,"+30 36'54""",12.9,2.97,2.19,134.27,78.75,-19.23,20231010
19,144,144 Vibilia (A875 LA),16:42,18:16,19:49,03:06,03:56:33,"+15 35'50""",11.2,2.08,1.25,135.61,80.33,-28.31,20231010
