,Designation,Full name,Rise time,Transit time,Set time,Max. time observable,R.A.,Dec.,Vmag,Helio. range (au),Topo.range (au),Object-Observer-Sun (deg),Object-Observer-Moon (deg),Galactic latitude (deg),OBSdate(UT)
0,602,602 Marianna (A906 DJ),09:50,11:09,12:28,02:37,23:22:22,"+13 03'01""",12.7,2.31,1.64,120.33,71.89,-44.36,20231118
1,678,678 Fredegundis (A909 BQ),10:48,11:43,12:38,01:49,23:56:27,"+09 58'30""",12.5,2.02,1.26,127.56,77.17,-50.60,20231118
2,639,639 Latona (A907 OA),11:04,12:56,14:47,03:43,01:09:21,"+19 48'17""",12.7,2.76,1.88,146.73,97.31,-43.02,20231118
3,123,123 Brunhild (A872 OB),11:15,13:06,14:56,03:40,01:19:22,"+19 26'33""",12.6,2.42,1.52,149.05,99.26,-43.11,20231118
4,135,135 Hertha (A874 DA),11:57,13:11,14:25,02:27,01:24:38,"+12 18'21""",11.4,2.19,1.29,148.98,97.20,-49.94,20231118
5,122,122 Gerda (A872 OA),12:44,13:23,14:02,01:18,01:36:53,"+08 39'47""",12.7,3.25,2.35,150.56,98.24,-52.76,20231118
6,127,127 Johanna (A872 VB),12:19,13:47,15:14,02:55,02:00:34,"+14 29'45""",12.6,2.72,1.78,157.98,106.0,-45.35,20231118
7,509,509 Iolanda (A903 HD),12:41,13:48,14:55,02:13,02:01:35,"+11 21'43""",12.6,2.79,1.85,157.21,104.9,-48.15,20231118
8,595,595 Polyxena (A906 FL),11:55,13:53,15:50,03:55,02:06:39,"+21 26'37""",12.8,3.23,2.28,160.16,110.2,-38.35,20231118
9,21,21 Lutetia (A852 VA),13:06,14:09,15:11,02:05,02:22:35,"+10 50'21""",10.5,2.26,1.30,161.65,109.3,-46.32,20231118
10,93,93 Minerva (A867 QA),12:16,14:23,16:31,04:15,02:37:10,"+24 39'18""",12.2,2.96,1.99,166.38,117.9,-32.52,20231118
11,119,119 Althaea (A872 GA),13:17,14:25,15:33,02:16,02:39:01,"+11 32'08""",11.6,2.40,1.43,165.48,113.2,-43.62,20231118
12,132,132 Aethra (A873 LA),12:07,14:37,17:07,05:00,02:51:09,"+36 13'25""",12.3,2.44,1.48,160.73,123.9,-20.89,20231118
13,139,139 Juewa (A874 TA),12:34,14:57,17:20,04:45,03:11:34,"+31 22'29""",12.2,2.91,1.94,166.92,127.0,-22.88,20231118
14,241,241 Germania (A884 RA),12:55,14:59,17:02,04:06,03:12:49,"+23 12'45""",11.7,2.88,1.89,174.09,125.1,-29.44,20231118
15,409,409 Aspasia (A895 XC),13:03,14:59,16:56,03:52,03:13:40,"+21 01'21""",11.3,2.76,1.78,175.53,124.6,-31.08,20231118
16,154,154 Bertha (A875 VD),12:48,15:03,17:19,04:31,03:17:37,"+27 56'42""",12.6,3.40,2.42,170.59,127.5,-24.96,20231118
17,90,90 Antiope (A866 TA),13:26,15:08,16:51,03:25,03:22:29,"+17 34'04""",12.8,3.14,2.15,177.57,125.3,-32.49,20231118
18,144,144 Vibilia (A875 LA),13:42,15:15,16:48,03:05,03:29:12,"+15 27'15""",10.3,2.14,1.15,176.42,126.0,-33.03,20231118
19,895,895 Helio (A918 NA),12:48,15:21,17:54,05:05,03:35:22,"+38 33'01""",12.4,2.78,1.83,160.44,132.9,-14.21,20231118
20,363,363 Padua (A893 FD),13:49,15:38,17:26,03:37,03:51:54,"+19 00'06""",12.5,2.63,1.64,174.98,132.3,-26.73,20231118
21,481,481 Emita (A902 CB),13:57,15:39,17:21,03:23,03:53:00,"+17 22'50""",11.5,2.31,1.32,174.45,132.0,-27.69,20231118
22,182,182 Elsa (A878 CC),13:59,15:40,17:21,03:21,03:54:19,"+17 09'11""",10.9,1.96,0.978,174.08,132.2,-27.62,20231118
23,24,24 Themis (A853 GA),13:48,15:44,17:40,03:51,03:58:10,"+20 55'25""",11.5,3.08,2.09,173.27,134.3,-24.33,20231118
24,70,70 Panopaea (A861 JA),13:43,15:52,18:01,04:17,04:06:27,"+25 04'33""",12.0,2.76,1.78,169.74,137.4,-20.05,20231118
25,503,503 Evelyn (A903 BL),14:02,15:53,17:43,03:41,04:06:54,"+19 30'52""",12.3,2.38,1.40,171.44,135.8,-23.83,20231118
26,65,65 Cybele (A861 EB),14:22,15:59,17:36,03:13,04:13:09,"+16 19'19""",12.4,3.82,2.84,169.53,136.0,-24.87,20231118
27,113,113 Amalthea (A871 EA),14:36,15:59,17:22,02:45,04:13:07,"+13 42'32""",11.9,2.53,1.56,168.52,134.9,-26.58,20231118
28,346,346 Hermentaria (A892 WC),14:43,16:10,17:37,02:54,04:24:17,"+14 25'06""",10.9,2.56,1.59,166.37,137.7,-24.04,20231118
29,306,306 Unitas (A891 EA),15:20,16:11,17:01,01:40,04:25:03,"+09 33'10""",12.1,2.44,1.47,163.79,135.6,-26.88,20231118
30,358,358 Apollonia (A893 EC),14:42,16:18,17:55,03:13,04:32:48,"+16 17'30""",12.4,2.44,1.47,164.96,140.3,-21.26,20231118
31,347,347 Pariana (A892 WD),14:50,16:22,17:54,03:03,04:36:15,"+15 17'15""",12.9,2.69,1.72,163.90,140.7,-21.23,20231118
32,95,95 Arethusa (A867 WA),14:25,16:23,18:20,03:55,04:37:06,"+21 27'54""",11.7,2.64,1.67,164.23,143.1,-17.22,20231118
33,758,758 Mancunia (A912 KB),14:49,16:26,18:03,03:14,04:40:17,"+16 23'21""",12.3,2.72,1.76,163.22,142.0,-19.79,20231118
34,480,480 Hansa (A901 KB),14:51,16:32,18:13,03:21,04:46:39,"+17 09'35""",11.8,2.53,1.58,161.86,143.7,-18.11,20231118
35,317,317 Roxane (A891 RD),14:58,16:50,18:42,03:43,05:04:23,"+19 47'41""",12.8,2.27,1.32,157.91,148.6,-13.16,20231118
36,160,160 Una (A876 DA),14:46,17:03,19:20,04:33,05:17:08,"+28 23'32""",12.9,2.55,1.62,153.96,153.5,-5.82,20231118
37,498,498 Tokio (A902 XA),15:32,17:11,18:49,03:16,05:25:20,"+16 37'14""",12.6,2.54,1.62,152.63,151.8,-10.81,20231118
38,210,210 Isabella (A879 VA),14:56,17:13,19:31,04:34,05:28:01,"+28 35'49""",12.9,2.41,1.49,151.60,155.9,-3.73,20231118
39,389,389 Industria (A894 EE),14:57,17:16,19:35,04:37,05:30:29,"+29 16'27""",12.1,2.68,1.77,150.91,156.4,-2.90,20231118
