,Designation,Full name,Rise time,Transit time,Set time,Max. time observable,R.A.,Dec.,Vmag,Helio. range (au),Topo.range (au),Object-Observer-Sun (deg),Object-Observer-Moon (deg),Galactic latitude (deg),OBSdate(UT)
0,602,602 Marianna (A906 DJ),09:54,11:12,12:31,02:37,23:22:02,"+13 01'58""",12.6,2.31,1.63,121.20,84.76,-44.33,20231117
1,678,678 Fredegundis (A909 BQ),10:51,11:46,12:42,01:50,23:56:06,"+10 01'23""",12.5,2.02,1.25,128.48,90.51,-50.52,20231117
2,639,639 Latona (A907 OA),11:08,13:00,14:52,03:44,01:09:44,"+19 54'47""",12.6,2.76,1.88,147.77,110.8,-42.91,20231117
3,123,123 Brunhild (A872 OB),11:19,13:10,15:01,03:41,01:19:53,"+19 32'09""",12.6,2.42,1.51,150.12,112.8,-43.00,20231117
4,135,135 Hertha (A874 DA),12:01,13:15,14:29,02:28,01:25:06,"+12 21'22""",11.4,2.19,1.28,150.10,111.0,-49.86,20231117
5,122,122 Gerda (A872 OA),12:47,13:27,14:07,01:20,01:37:24,"+08 42'55""",12.7,3.25,2.35,151.71,112.0,-52.67,20231117
6,127,127 Johanna (A872 VB),12:24,13:51,15:19,02:55,02:01:22,"+14 31'20""",12.6,2.73,1.78,159.18,119.9,-45.25,20231117
7,509,509 Iolanda (A903 HD),12:44,13:52,15:00,02:16,02:02:09,"+11 30'11""",12.6,2.79,1.85,158.40,118.7,-47.96,20231117
8,595,595 Polyxena (A906 FL),12:00,13:57,15:55,03:55,02:07:29,"+21 27'28""",12.8,3.23,2.28,161.26,123.9,-38.27,20231117
9,21,21 Lutetia (A852 VA),13:10,14:13,15:16,02:05,02:23:26,"+10 52'28""",10.4,2.26,1.30,162.84,123.1,-46.19,20231117
10,93,93 Minerva (A867 QA),12:20,14:28,16:36,04:15,02:38:06,"+24 42'26""",12.2,2.96,1.99,167.29,131.6,-32.38,20231117
11,119,119 Althaea (A872 GA),13:21,14:30,15:39,02:18,02:39:49,"+11 38'06""",11.5,2.40,1.42,166.67,127.0,-43.43,20231117
12,132,132 Aethra (A873 LA),12:12,14:42,17:13,05:01,02:52:20,"+36 27'03""",12.3,2.44,1.49,160.79,136.9,-20.58,20231117
13,139,139 Juewa (A874 TA),12:39,15:02,17:25,04:46,03:12:39,"+31 24'13""",12.2,2.91,1.94,166.99,140.5,-22.73,20231117
14,241,241 Germania (A884 RA),13:00,15:03,17:07,04:07,03:13:41,"+23 17'41""",11.7,2.88,1.89,174.58,139.0,-29.26,20231117
15,409,409 Aspasia (A895 XC),13:08,15:04,17:01,03:53,03:14:36,"+21 08'54""",11.3,2.76,1.78,176.33,138.5,-30.85,20231117
16,154,154 Bertha (A875 VD),12:52,15:08,17:24,04:31,03:18:38,"+27 55'48""",12.6,3.40,2.42,170.67,141.2,-24.85,20231117
17,90,90 Antiope (A866 TA),13:30,15:13,16:56,03:25,03:23:20,"+17 36'38""",12.7,3.13,2.15,178.61,139.1,-32.33,20231117
18,144,144 Vibilia (A875 LA),13:47,15:20,16:53,03:05,03:30:12,"+15 27'36""",10.3,2.14,1.15,176.57,139.7,-32.86,20231117
19,895,895 Helio (A918 NA),12:53,15:26,17:59,05:05,03:36:21,"+38 43'17""",12.4,2.78,1.83,159.94,145.6,-13.96,20231117
20,363,363 Padua (A893 FD),13:54,15:43,17:31,03:37,03:52:53,"+19 00'46""",12.5,2.63,1.64,173.76,146.1,-26.56,20231117
21,481,481 Emita (A902 CB),14:02,15:44,17:25,03:23,03:54:01,"+17 20'37""",11.6,2.31,1.32,173.31,145.7,-27.54,20231117
22,182,182 Elsa (A878 CC),14:04,15:45,17:26,03:21,03:55:17,"+17 11'12""",10.9,1.96,0.979,172.98,145.9,-27.43,20231117
23,24,24 Themis (A853 GA),13:53,15:49,17:45,03:51,03:59:01,"+20 57'39""",11.6,3.08,2.10,172.06,148.2,-24.16,20231117
24,70,70 Panopaea (A861 JA),13:49,15:57,18:06,04:17,04:07:34,"+25 03'25""",12.1,2.76,1.78,168.60,151.3,-19.88,20231117
25,503,503 Evelyn (A903 BL),14:07,15:57,17:48,03:41,04:07:52,"+19 31'04""",12.3,2.38,1.40,170.21,149.5,-23.67,20231117
26,65,65 Cybele (A861 EB),14:26,16:03,17:41,03:14,04:13:53,"+16 21'31""",12.4,3.82,2.85,168.46,149.5,-24.71,20231117
27,113,113 Amalthea (A871 EA),14:41,16:04,17:27,02:46,04:14:08,"+13 44'56""",11.9,2.53,1.56,167.53,148.2,-26.36,20231117
28,346,346 Hermentaria (A892 WC),14:48,16:15,17:42,02:54,04:25:12,"+14 24'42""",10.9,2.56,1.59,165.29,150.8,-23.87,20231117
29,306,306 Unitas (A891 EA),15:25,16:16,17:06,01:41,04:26:03,"+09 36'00""",12.1,2.44,1.47,162.92,148.1,-26.65,20231117
30,358,358 Apollonia (A893 EC),14:46,16:23,18:00,03:14,04:33:36,"+16 20'29""",12.5,2.44,1.47,163.84,153.5,-21.08,20231117
31,95,95 Arethusa (A867 WA),14:29,16:27,18:26,03:56,04:37:55,"+21 34'49""",11.7,2.64,1.68,163.03,156.8,-17.01,20231117
32,347,347 Pariana (A892 WD),14:55,16:27,17:58,03:03,04:37:12,"+15 16'16""",12.9,2.69,1.73,162.76,153.7,-21.06,20231117
33,758,758 Mancunia (A912 KB),14:53,16:31,18:08,03:14,04:41:03,"+16 23'57""",12.3,2.72,1.76,162.09,155.1,-19.63,20231117
34,480,480 Hansa (A901 KB),14:55,16:37,18:19,03:23,04:47:32,"+17 20'39""",11.8,2.53,1.58,160.71,156.9,-17.83,20231117
35,317,317 Roxane (A891 RD),15:03,16:55,18:47,03:43,05:05:19,"+19 49'25""",12.8,2.27,1.32,156.69,161.8,-12.96,20231117
36,160,160 Una (A876 DA),14:50,17:07,19:24,04:33,05:17:55,"+28 22'28""",12.9,2.55,1.63,152.82,167.3,-5.69,20231117
37,498,498 Tokio (A902 XA),15:37,17:16,18:54,03:16,05:26:10,"+16 35'46""",12.7,2.53,1.62,151.46,163.5,-10.65,20231117
38,210,210 Isabella (A879 VA),15:01,17:18,19:35,04:34,05:28:44,"+28 33'13""",12.9,2.41,1.50,150.46,169.7,-3.62,20231117
39,389,389 Industria (A894 EE),15:02,17:21,19:40,04:37,05:31:14,"+29 18'05""",12.1,2.68,1.78,149.76,170.2,-2.75,20231117
40,159,159 Aemilia (A876 BA),16:02,17:37,19:11,03:09,05:47:11,"+15 51'44""",12.8,2.84,1.96,146.36,165.7,-6.74,20231117
41,488,488 Kreusa (A902 MC),15:57,17:58,20:00,04:02,06:09:05,"+22 35'58""",12.7,3.01,2.16,141.90,173.9,1.10,20231117
42,704,704 Interamnia (A910 TC),15:32,17:58,20:23,04:50,06:08:14,"+32 43'50""",10.8,2.79,1.95,141.29,175.5,5.81,20231117
43,37,37 Fides (A855 TB),15:43,17:59,20:15,04:32,06:09:41,"+28 08'50""",10.5,2.18,1.32,141.62,178.6,3.89,20231117
