,Designation,Full name,Rise time,Transit time,Set time,Max. time observable,R.A.,Dec.,Vmag,Helio. range (au),Topo.range (au),Object-Observer-Sun (deg),Object-Observer-Moon (deg),Galactic latitude (deg),OBSdate(UT)
0,602,602 Marianna (A906 DJ),09:57,11:16,12:35,02:37,23:21:43,"+13 01'02""",12.6,2.31,1.62,122.08,97.51,-44.31,20231116
1,678,678 Fredegundis (A909 BQ),10:54,11:50,12:46,01:51,23:55:46,"+10 04'27""",12.5,2.02,1.24,129.40,103.7,-50.45,20231116
2,639,639 Latona (A907 OA),11:12,13:04,14:57,03:45,01:10:09,"+20 01'21""",12.6,2.76,1.87,148.80,124.1,-42.79,20231116
3,123,123 Brunhild (A872 OB),11:23,13:14,15:06,03:42,01:20:26,"+19 37'48""",12.5,2.42,1.51,151.20,126.2,-42.89,20231116
4,135,135 Hertha (A874 DA),12:05,13:20,14:34,02:29,01:25:35,"+12 24'31""",11.4,2.19,1.27,151.23,124.6,-49.79,20231116
5,122,122 Gerda (A872 OA),12:51,13:32,14:13,01:21,01:37:57,"+08 46'09""",12.7,3.25,2.34,152.86,125.7,-52.58,20231116
6,127,127 Johanna (A872 VB),12:28,13:56,15:24,02:55,02:02:12,"+14 32'59""",12.5,2.73,1.77,160.38,133.5,-45.15,20231116
7,509,509 Iolanda (A903 HD),12:48,13:57,15:06,02:18,02:02:43,"+11 38'47""",12.5,2.79,1.84,159.59,132.4,-47.78,20231116
8,595,595 Polyxena (A906 FL),12:04,14:02,16:00,03:55,02:08:19,"+21 28'17""",12.8,3.23,2.27,162.36,137.4,-38.19,20231116
9,21,21 Lutetia (A852 VA),13:15,14:18,15:21,02:06,02:24:18,"+10 54'43""",10.4,2.26,1.29,164.03,136.7,-46.05,20231116
10,93,93 Minerva (A867 QA),12:25,14:33,16:41,04:15,02:39:03,"+24 45'31""",12.1,2.96,1.98,168.16,145.1,-32.23,20231116
11,119,119 Althaea (A872 GA),13:25,14:34,15:44,02:19,02:40:38,"+11 44'11""",11.5,2.40,1.42,167.85,140.6,-43.23,20231116
12,132,132 Aethra (A873 LA),12:16,14:47,17:18,05:01,02:53:32,"+36 40'22""",12.3,2.45,1.49,160.77,149.0,-20.27,20231116
13,139,139 Juewa (A874 TA),12:44,15:07,17:31,04:46,03:13:43,"+31 25'48""",12.2,2.91,1.94,166.94,153.5,-22.58,20231116
14,241,241 Germania (A884 RA),13:04,15:08,17:12,04:07,03:14:32,"+23 22'35""",11.7,2.87,1.89,174.81,152.6,-29.07,20231116
15,409,409 Aspasia (A895 XC),13:12,15:09,17:06,03:54,03:15:33,"+21 16'25""",11.3,2.76,1.77,176.81,152.2,-30.62,20231116
16,154,154 Bertha (A875 VD),12:57,15:13,17:29,04:31,03:19:38,"+27 54'49""",12.6,3.40,2.42,170.59,154.6,-24.73,20231116
17,90,90 Antiope (A866 TA),13:35,15:18,17:01,03:26,03:24:11,"+17 39'11""",12.7,3.13,2.14,179.03,152.7,-32.17,20231116
18,144,144 Vibilia (A875 LA),13:52,15:25,16:58,03:05,03:31:12,"+15 27'58""",10.3,2.14,1.15,176.29,153.1,-32.70,20231116
19,895,895 Helio (A918 NA),12:58,15:31,18:04,05:05,03:37:20,"+38 53'19""",12.4,2.78,1.83,159.38,156.8,-13.71,20231116
20,363,363 Padua (A893 FD),13:59,15:47,17:36,03:37,03:53:52,"+19 01'24""",12.6,2.63,1.65,172.54,159.6,-26.39,20231116
21,481,481 Emita (A902 CB),14:07,15:49,17:30,03:22,03:55:02,"+17 18'25""",11.6,2.31,1.32,172.15,159.0,-27.39,20231116
22,182,182 Elsa (A878 CC),14:09,15:50,17:31,03:22,03:56:15,"+17 13'14""",11.0,1.96,0.980,171.85,159.2,-27.25,20231116
23,24,24 Themis (A853 GA),13:57,15:53,17:50,03:52,03:59:52,"+20 59'50""",11.6,3.08,2.10,170.85,161.7,-24.00,20231116
24,70,70 Panopaea (A861 JA),13:54,16:02,18:11,04:17,04:08:40,"+25 02'12""",12.1,2.76,1.79,167.45,165.0,-19.72,20231116
25,503,503 Evelyn (A903 BL),14:12,16:02,17:53,03:41,04:08:48,"+19 31'15""",12.4,2.38,1.41,168.99,162.9,-23.50,20231116
26,65,65 Cybele (A861 EB),14:31,16:08,17:45,03:14,04:14:37,"+16 23'44""",12.4,3.82,2.85,167.37,162.2,-24.56,20231116
27,113,113 Amalthea (A871 EA),14:45,16:09,17:32,02:46,04:15:08,"+13 47'22""",11.9,2.53,1.56,166.49,160.4,-26.15,20231116
28,346,346 Hermentaria (A892 WC),14:53,16:20,17:47,02:53,04:26:07,"+14 24'20""",10.9,2.56,1.59,164.19,162.6,-23.70,20231116
29,306,306 Unitas (A891 EA),15:29,16:21,17:12,01:42,04:27:04,"+09 38'56""",12.1,2.43,1.47,162.01,158.8,-26.43,20231116
30,358,358 Apollonia (A893 EC),14:51,16:28,18:05,03:14,04:34:24,"+16 23'30""",12.5,2.44,1.48,162.71,165.4,-20.90,20231116
31,95,95 Arethusa (A867 WA),14:34,16:32,18:31,03:56,04:38:42,"+21 41'41""",11.8,2.64,1.68,161.82,169.9,-16.79,20231116
32,347,347 Pariana (A892 WD),15:00,16:32,18:03,03:03,04:38:07,"+15 15'20""",12.9,2.69,1.73,161.61,165.0,-20.89,20231116
33,758,758 Mancunia (A912 KB),14:58,16:35,18:13,03:14,04:41:49,"+16 24'33""",12.4,2.72,1.76,160.96,166.5,-19.48,20231116
34,480,480 Hansa (A901 KB),14:59,16:42,18:24,03:24,04:48:23,"+17 31'41""",11.9,2.53,1.58,159.55,168.2,-17.55,20231116
35,317,317 Roxane (A891 RD),15:08,17:00,18:52,03:43,05:06:12,"+19 51'07""",12.9,2.26,1.33,155.48,172.0,-12.78,20231116
36,160,160 Una (A876 DA),14:55,17:12,19:29,04:33,05:18:40,"+28 21'20""",12.9,2.55,1.64,151.67,178.8,-5.56,20231116
37,498,498 Tokio (A902 XA),15:42,17:20,18:58,03:16,05:26:58,"+16 34'21""",12.7,2.53,1.63,150.28,168.6,-10.50,20231116
38,210,210 Isabella (A879 VA),15:06,17:23,19:40,04:34,05:29:25,"+28 30'33""",13.0,2.41,1.50,149.33,176.6,-3.52,20231116
39,389,389 Industria (A894 EE),15:06,17:25,19:44,04:37,05:31:58,"+29 19'37""",12.1,2.68,1.78,148.61,175.8,-2.60,20231116
40,159,159 Aemilia (A876 BA),16:06,17:41,19:16,03:09,05:47:41,"+15 52'35""",12.8,2.84,1.97,145.26,166.0,-6.63,20231116
41,704,704 Interamnia (A910 TC),15:37,18:02,20:27,04:50,06:08:49,"+32 46'39""",10.8,2.79,1.95,140.19,167.2,5.94,20231116
42,37,37 Fides (A855 TB),15:47,18:03,20:20,04:32,06:10:01,"+28 06'36""",10.5,2.18,1.32,140.55,167.8,3.94,20231116
43,488,488 Kreusa (A902 MC),16:01,18:03,20:04,04:02,06:09:31,"+22 32'55""",12.7,3.01,2.17,140.80,166.6,1.16,20231116
44,776,776 Berbericia (A914 BE),16:12,18:16,20:20,04:08,06:22:50,"+23 32'31""",11.7,2.60,1.78,137.77,164.1,4.33,20231116
45,4,4 Vesta (A807 FA),16:33,18:22,20:12,03:39,06:29:16,"+19 15'04""",7.19,2.57,1.77,135.93,161.0,3.68,20231116
46,9,9 Metis (A848 HA),16:18,18:26,20:33,04:15,06:32:22,"+24 39'27""",9.39,2.09,1.27,135.63,162.3,6.77,20231116
47,48,48 Doris (A857 SA),17:11,18:37,20:03,02:52,06:43:31,"+14 15'08""",12.0,2.91,2.15,131.72,155.4,4.45,20231116
48,5,5 Astraea (A845 XA),17:07,18:43,20:18,03:10,06:49:24,"+15 55'57""",10.6,2.26,1.49,130.67,155.2,6.47,20231116
49,92,92 Undina (A867 NA),17:44,19:40,21:35*,02:54,07:46:35,"+20 43'46""",12.5,3.33,2.75,118.20,144.8,20.80,20231116
