,Designation,Full name,Rise time,Transit time,Set time,Max. time observable,R.A.,Dec.,Vmag,Helio. range (au),Topo.range (au),Object-Observer-Sun (deg),Object-Observer-Moon (deg),Galactic latitude (deg),OBSdate(UT)
0,602,602 Marianna (A906 DJ),10:05,11:23,12:42,02:36,23:21:11,"+12 59'29""",12.6,2.31,1.60,123.85,122.2,-44.27,20231114
1,678,678 Fredegundis (A909 BQ),11:01,11:57,12:54,01:53,23:55:14,"+10 11'11""",12.4,2.02,1.23,131.26,129.3,-50.30,20231114
2,120,120 Lachesis (A872 GB),11:37,12:58,14:20,02:42,00:56:20,"+13 27'21""",13.0,3.28,2.41,146.56,144.5,-49.54,20231114
3,639,639 Latona (A907 OA),11:20,13:13,15:06,03:46,01:11:02,"+20 14'41""",12.6,2.76,1.85,150.86,149.5,-42.55,20231114
4,123,123 Brunhild (A872 OB),11:32,13:23,15:15,03:43,01:21:36,"+19 49'16""",12.5,2.42,1.50,153.34,151.9,-42.66,20231114
5,135,135 Hertha (A874 DA),12:13,13:29,14:44,02:30,01:26:40,"+12 31'14""",11.3,2.18,1.25,153.52,151.1,-49.63,20231114
6,122,122 Gerda (A872 OA),12:59,13:41,14:23,01:24,01:39:05,"+08 52'54""",12.7,3.25,2.33,155.17,152.3,-52.39,20231114
7,127,127 Johanna (A872 VB),12:38,14:06,15:34,02:56,02:03:53,"+14 36'23""",12.5,2.73,1.77,162.79,160.3,-44.94,20231114
8,509,509 Iolanda (A903 HD),12:54,14:06,15:17,02:22,02:03:55,"+11 56'20""",12.5,2.79,1.83,161.99,159.1,-47.39,20231114
9,595,595 Polyxena (A906 FL),12:14,14:12,16:10,03:55,02:10:03,"+21 29'51""",12.7,3.23,2.26,164.51,163.3,-38.01,20231114
10,21,21 Lutetia (A852 VA),13:24,14:28,15:32,02:07,02:26:05,"+10 59'31""",10.3,2.26,1.28,166.41,163.1,-45.76,20231114
11,93,93 Minerva (A867 QA),12:34,14:43,16:51,04:16,02:40:58,"+24 51'29""",12.1,2.96,1.98,169.67,170.0,-31.94,20231114
12,119,119 Althaea (A872 GA),13:33,14:44,15:55,02:22,02:42:19,"+11 56'38""",11.4,2.40,1.41,170.20,166.6,-42.83,20231114
13,132,132 Aethra (A873 LA),12:26,14:58,17:29,05:02,02:55:57,"+37 06'02""",12.3,2.46,1.50,160.49,163.3,-19.66,20231114
14,139,139 Juewa (A874 TA),12:54,15:17,17:41,04:46,03:15:52,"+31 28'32""",12.2,2.92,1.94,166.52,169.8,-22.29,20231114
15,241,241 Germania (A884 RA),13:14,15:18,17:22,04:08,03:16:17,"+23 32'11""",11.7,2.87,1.89,174.45,177.5,-28.71,20231114
16,409,409 Aspasia (A895 XC),13:21,15:19,17:17,03:55,03:17:26,"+21 31'19""",11.3,2.76,1.77,176.40,179.0,-30.15,20231114
17,154,154 Bertha (A875 VD),13:07,15:23,17:39,04:31,03:21:39,"+27 52'33""",12.6,3.40,2.42,169.98,173.5,-24.50,20231114
18,90,90 Antiope (A866 TA),13:44,15:27,17:11,03:26,03:25:54,"+17 44'18""",12.8,3.13,2.14,177.21,176.2,-31.84,20231114
19,144,144 Vibilia (A875 LA),14:02,15:35,17:07,03:05,03:33:11,"+15 28'47""",10.3,2.13,1.14,174.80,173.5,-32.36,20231114
20,895,895 Helio (A918 NA),13:08,15:41,18:14,05:06,03:39:17,"+39 12'39""",12.5,2.78,1.84,158.11,161.8,-13.23,20231114
21,363,363 Padua (A893 FD),14:08,15:57,17:46,03:37,03:55:49,"+19 02'38""",12.6,2.63,1.65,170.09,171.7,-26.05,20231114
22,481,481 Emita (A902 CB),14:17,15:58,17:40,03:22,03:57:03,"+17 14'01""",11.7,2.31,1.33,169.77,170.7,-27.10,20231114
23,182,182 Elsa (A878 CC),14:18,16:00,17:41,03:22,03:58:08,"+17 17'17""",11.0,1.96,0.983,169.52,170.5,-26.87,20231114
24,24,24 Themis (A853 GA),14:07,16:03,17:59,03:52,04:01:32,"+21 04'06""",11.7,3.08,2.11,168.44,170.7,-23.67,20231114
25,70,70 Panopaea (A861 JA),14:04,16:12,18:21,04:16,04:10:51,"+24 59'30""",12.1,2.76,1.79,165.10,168.2,-19.40,20231114
26,503,503 Evelyn (A903 BL),14:21,16:12,18:03,03:41,04:10:40,"+19 31'32""",12.4,2.39,1.41,166.56,168.4,-23.18,20231114
27,65,65 Cybele (A861 EB),14:40,16:17,17:55,03:15,04:16:03,"+16 28'09""",12.5,3.82,2.85,165.16,166.3,-24.25,20231114
28,113,113 Amalthea (A871 EA),14:55,16:18,17:42,02:47,04:17:05,"+13 52'20""",12.0,2.54,1.57,164.34,164.9,-25.73,20231114
29,346,346 Hermentaria (A892 WC),15:02,16:29,17:56,02:53,04:27:53,"+14 23'44""",10.9,2.56,1.60,161.96,162.8,-23.37,20231114
30,306,306 Unitas (A891 EA),15:38,16:30,17:23,01:44,04:29:01,"+09 45'03""",12.2,2.43,1.48,160.08,160.1,-25.98,20231114
31,358,358 Apollonia (A893 EC),15:00,16:37,18:15,03:15,04:35:56,"+16 29'32""",12.5,2.44,1.48,160.44,161.8,-20.55,20231114
32,347,347 Pariana (A892 WD),15:10,16:41,18:13,03:02,04:39:55,"+15 13'34""",13.0,2.69,1.75,159.29,160.5,-20.56,20231114
33,95,95 Arethusa (A867 WA),14:42,16:42,18:41,03:58,04:40:15,"+21 55'13""",11.8,2.64,1.69,159.43,161.8,-16.37,20231114
34,758,758 Mancunia (A912 KB),15:07,16:45,18:22,03:14,04:43:17,"+16 25'51""",12.4,2.72,1.77,158.69,160.1,-19.19,20231114
35,480,480 Hansa (A901 KB),15:07,16:51,18:35,03:28,04:50:03,"+17 53'35""",11.9,2.53,1.59,157.22,159.0,-17.02,20231114
36,317,317 Roxane (A891 RD),15:17,17:09,19:01,03:44,05:07:55,"+19 54'27""",12.9,2.26,1.33,153.08,155.2,-12.41,20231114
37,160,160 Una (A876 DA),15:05,17:21,19:38,04:33,05:20:05,"+28 18'50""",13.0,2.55,1.65,149.40,152.4,-5.33,20231114
38,498,498 Tokio (A902 XA),15:52,17:30,19:08,03:15,05:28:30,"+16 31'39""",12.7,2.53,1.63,147.95,149.7,-10.22,20231114
39,389,389 Industria (A894 EE),15:15,17:35,19:54,04:38,05:33:19,"+29 22'26""",12.2,2.68,1.80,146.34,149.4,-2.33,20231114
40,159,159 Aemilia (A876 BA),16:15,17:50,19:25,03:09,05:48:37,"+15 54'23""",12.8,2.84,1.98,143.08,144.9,-6.42,20231114
41,488,488 Kreusa (A902 MC),16:10,18:11,20:12,04:01,06:10:17,"+22 26'56""",12.8,3.01,2.20,138.60,141.0,1.27,20231114
42,704,704 Interamnia (A910 TC),15:45,18:11,20:37,04:51,06:09:54,"+32 52'00""",10.8,2.78,1.97,138.00,141.2,6.18,20231114
43,37,37 Fides (A855 TB),15:55,18:12,20:28,04:32,06:10:33,"+28 02'05""",10.6,2.18,1.34,138.44,141.3,4.00,20231114
