,Designation,Full name,Rise time,Transit time,Set time,Max. time observable,R.A.,Dec.,Vmag,Helio. range (au),Topo.range (au),Object-Observer-Sun (deg),Object-Observer-Moon (deg),Galactic latitude (deg),OBSdate(UT)
0,602,602 Marianna (A906 DJ),10:24,11:42,13:00,02:36,23:20:22,"+12 57'25""",12.5,2.31,1.56,128.38,161.2,-44.20,20231109
1,678,678 Fredegundis (A909 BQ),11:16,12:16,13:16,01:59,23:54:27,"+10 31'16""",12.3,2.03,1.19,136.04,163.2,-49.92,20231109
2,120,120 Lachesis (A872 GB),11:57,13:21,14:44,02:46,00:58:58,"+13 44'21""",12.9,3.28,2.37,152.13,151.5,-49.23,20231109
3,639,639 Latona (A907 OA),11:40,13:35,15:31,03:50,01:13:39,"+20 48'44""",12.5,2.76,1.82,155.91,144.1,-41.92,20231109
4,123,123 Brunhild (A872 OB),11:53,13:46,15:40,03:47,01:24:58,"+20 18'19""",12.4,2.43,1.48,158.59,142.5,-42.05,20231109
5,135,135 Hertha (A874 DA),12:34,13:51,15:09,02:34,01:29:51,"+12 50'10""",11.1,2.17,1.22,159.33,146.0,-49.15,20231109
6,122,122 Gerda (A872 OA),13:18,14:04,14:50,01:32,01:42:10,"+09 11'18""",12.6,3.25,2.30,161.01,145.0,-51.87,20231109
7,509,509 Iolanda (A903 HD),13:12,14:29,15:45,02:33,02:07:10,"+12 41'54""",12.3,2.79,1.81,168.02,137.9,-46.38,20231109
8,127,127 Johanna (A872 VB),13:01,14:30,15:59,02:57,02:08:21,"+14 45'25""",12.4,2.73,1.75,168.87,136.8,-44.38,20231109
9,595,595 Polyxena (A906 FL),12:38,14:36,16:34,03:55,02:14:34,"+21 33'04""",12.6,3.22,2.25,169.47,132.4,-37.56,20231109
10,21,21 Lutetia (A852 VA),13:46,14:52,15:58,02:11,02:30:49,"+11 13'14""",10.1,2.25,1.26,172.21,133.1,-44.96,20231109
11,93,93 Minerva (A867 QA),12:58,15:07,17:16,04:17,02:45:55,"+25 05'02""",12.1,2.95,1.97,171.32,124.3,-31.19,20231109
12,119,119 Althaea (A872 GA),13:53,15:08,16:23,02:30,02:46:40,"+12 29'12""",11.3,2.39,1.40,175.51,129.0,-41.78,20231109
13,132,132 Aethra (A873 LA),12:51,15:23,17:56,05:04,03:02:00,"+38 04'08""",12.4,2.48,1.53,158.47,115.1,-18.22,20231109
14,139,139 Juewa (A874 TA),13:19,15:42,18:06,04:46,03:21:12,"+31 32'34""",12.3,2.92,1.96,163.84,114.6,-21.58,20231109
15,241,241 Germania (A884 RA),13:36,15:42,17:47,04:10,03:20:38,"+23 54'58""",11.8,2.87,1.89,170.39,117.6,-27.80,20231109
16,409,409 Aspasia (A895 XC),13:43,15:43,17:43,03:59,03:22:11,"+22 07'28""",11.4,2.76,1.78,171.36,117.8,-29.00,20231109
17,154,154 Bertha (A875 VD),13:32,15:48,18:03,04:30,03:26:38,"+27 45'10""",12.7,3.40,2.43,166.55,114.9,-23.93,20231109
18,90,90 Antiope (A866 TA),14:07,15:51,17:36,03:28,03:30:10,"+17 56'52""",12.9,3.12,2.14,171.26,117.3,-31.01,20231109
19,144,144 Vibilia (A875 LA),14:26,15:59,17:32,03:05,03:38:06,"+15 31'10""",10.5,2.12,1.14,169.34,116.2,-31.52,20231109
20,895,895 Helio (A918 NA),13:31,16:05,18:39,05:07,03:44:03,"+39 56'22""",12.5,2.79,1.86,154.26,107.0,-12.08,20231109
21,363,363 Padua (A893 FD),14:33,16:22,18:11,03:37,04:00:30,"+19 05'10""",12.8,2.63,1.66,163.98,110.1,-25.22,20231109
22,481,481 Emita (A902 CB),14:43,16:23,18:03,03:20,04:01:50,"+17 03'02""",11.8,2.31,1.34,163.76,110.3,-26.40,20231109
23,182,182 Elsa (A878 CC),14:41,16:24,18:06,03:24,04:02:33,"+17 27'15""",11.2,1.96,0.994,163.59,110.0,-25.99,20231109
24,24,24 Themis (A853 GA),14:30,16:27,18:23,03:53,04:05:31,"+21 13'56""",11.8,3.09,2.13,162.47,108.4,-22.89,20231109
25,503,503 Evelyn (A903 BL),14:45,16:36,18:27,03:41,04:14:59,"+19 31'42""",12.6,2.39,1.44,160.54,106.7,-22.42,20231109
26,70,70 Panopaea (A861 JA),14:29,16:37,18:45,04:16,04:16:03,"+24 51'13""",12.2,2.75,1.80,159.15,105.2,-18.64,20231109
27,65,65 Cybele (A861 EB),15:02,16:41,18:19,03:17,04:19:30,"+16 39'09""",12.6,3.82,2.87,159.52,106.2,-23.50,20231109
28,113,113 Amalthea (A871 EA),15:18,16:43,18:08,02:50,04:21:42,"+14 05'07""",12.1,2.54,1.59,158.71,106.2,-24.73,20231109
29,346,346 Hermentaria (A892 WC),15:26,16:53,18:20,02:53,04:32:01,"+14 22'49""",11.1,2.55,1.62,156.29,103.6,-22.59,20231109
30,306,306 Unitas (A891 EA),15:59,16:55,17:50,01:50,04:33:39,"+10 01'45""",12.3,2.42,1.49,154.90,103.9,-24.90,20231109
31,358,358 Apollonia (A893 EC),15:21,17:00,18:39,03:17,04:39:26,"+16 44'37""",12.7,2.44,1.51,154.76,101.5,-19.73,20231109
32,95,95 Arethusa (A867 WA),15:04,17:05,19:06,04:01,04:43:47,"+22 27'50""",11.9,2.63,1.71,153.52,99.51,-15.39,20231109
33,758,758 Mancunia (A912 KB),15:30,17:08,18:45,03:15,04:46:38,"+16 29'17""",12.5,2.72,1.80,153.02,99.83,-18.51,20231109
34,480,480 Hansa (A901 KB),15:27,17:15,19:03,03:35,04:53:50,"+18 47'07""",12.0,2.54,1.62,151.40,97.78,-15.76,20231109
35,498,498 Tokio (A902 XA),16:15,17:53,19:30,03:14,05:31:52,"+16 25'34""",12.8,2.52,1.66,142.22,89.08,-9.59,20231109
36,389,389 Industria (A894 EE),15:38,17:57,20:16,04:38,05:36:14,"+29 27'59""",12.3,2.68,1.84,140.75,86.91,-1.75,20231109
37,159,159 Aemilia (A876 BA),16:36,18:11,19:47,03:10,05:50:30,"+15 59'30""",12.9,2.84,2.03,137.72,84.66,-5.98,20231109
38,37,37 Fides (A855 TB),16:16,18:32,20:48*,04:16,06:11:14,"+27 50'40""",10.7,2.18,1.38,133.31,79.32,4.04,20231109
39,488,488 Kreusa (A902 MC),16:32,18:33,20:33,04:00,06:11:47,"+22 12'37""",12.9,3.02,2.25,133.22,79.31,1.46,20231109
40,704,704 Interamnia (A910 TC),16:07,18:33,20:59*,04:25,06:12:05,"+33 03'56""",10.9,2.78,2.01,132.63,79.12,6.68,20231109
41,776,776 Berbericia (A914 BE),16:44,18:46,20:48*,03:49,06:24:59,"+22 44'55""",11.8,2.59,1.84,130.20,76.25,4.40,20231109
42,4,4 Vesta (A807 FA),17:03,18:52,20:41*,03:30,06:31:14,"+19 07'19""",7.33,2.57,1.84,128.45,74.82,4.03,20231109
43,9,9 Metis (A848 HA),16:47,18:53,20:59*,03:46,06:32:22,"+24 13'39""",9.56,2.09,1.33,128.57,74.56,6.58,20231109
44,48,48 Doris (A857 SA),17:37,19:05,20:33*,02:55,06:44:24,"+14 33'37""",12.1,2.91,2.23,124.66,71.74,4.77,20231109
45,5,5 Astraea (A845 XA),17:33,19:09,20:45*,02:59,06:48:23,"+16 07'24""",10.8,2.28,1.57,123.98,70.76,6.33,20231109
46,92,92 Undina (A867 NA),18:12,20:06,22:01*,02:21,07:45:50,"+20 32'57""",12.6,3.32,2.83,111.30,57.38,20.57,20231109
47,128,128 Nemesis (A872 WA),18:58,20:58*,22:58*,01:34,08:37:47,"+22 02'37""",12.8,2.68,2.32,99.78,45.75,32.43,20231109
48,78,78 Diana (A863 EA),19:01,21:13*,23:25*,01:31,08:52:57,"+26 17'11""",12.6,2.13,1.76,97.49,43.75,36.98,20231109
49,71,71 Niobe (A861 PA),18:53,21:15*,23:38*,01:40,08:54:51,"+31 07'31""",12.4,2.91,2.60,98.31,45.30,38.50,20231109
