,Designation,Full name,Rise time,Transit time,Set time,Max. time observable,R.A.,Dec.,Vmag,Helio. range (au),Topo.range (au),Object-Observer-Sun (deg),Object-Observer-Moon (deg),Galactic latitude (deg),OBSdate(UT)
0,602,602 Marianna (A906 DJ),09:10*,10:31,11:52,02:06,23:27:59,"+13 22'12""",12.9,2.31,1.76,111.12,82.47,-44.71,20231129
1,678,678 Fredegundis (A909 BQ),10:14,11:06,11:57,01:43,00:02:29,"+09 40'04""",12.8,2.01,1.35,117.97,76.51,-51.37,20231129
2,639,639 Latona (A907 OA),10:22,12:10,13:57,03:34,01:06:44,"+18 42'53""",12.9,2.77,1.98,135.40,58.62,-44.16,20231129
3,123,123 Brunhild (A872 OB),10:32,12:18,14:05,03:33,01:15:33,"+18 30'37""",12.8,2.41,1.59,137.40,56.75,-44.15,20231129
4,135,135 Hertha (A874 DA),11:13,12:25,13:36,02:22,01:21:39,"+11 55'26""",11.8,2.22,1.39,137.10,57.97,-50.45,20231129
5,122,122 Gerda (A872 OA),12:03,12:35,13:07,01:04,01:32:14,"+08 12'26""",12.9,3.25,2.45,138.22,57.26,-53.51,20231129
6,127,127 Johanna (A872 VB),11:30,12:56,14:22,02:52,01:53:06,"+14 16'37""",12.8,2.72,1.85,145.11,50.02,-46.19,20231129
7,509,509 Iolanda (A903 HD),12:05,12:59,13:54,01:49,01:56:42,"+09 58'10""",12.8,2.80,1.93,144.47,51.08,-49.90,20231129
8,21,21 Lutetia (A852 VA),12:17,13:18,14:18,02:01,02:14:55,"+10 35'44""",10.8,2.28,1.38,148.83,46.81,-47.43,20231129
9,93,93 Minerva (A867 QA),11:25,13:31,15:36,04:11,02:27:56,"+24 02'33""",12.4,2.97,2.05,154.73,39.02,-34.02,20231129
10,119,119 Althaea (A872 GA),12:34,13:34,14:34,02:00,02:31:19,"+10 35'20""",11.9,2.40,1.48,152.48,43.27,-45.44,20231129
11,132,132 Aethra (A873 LA),11:15,13:42,16:08,04:52,02:39:03,"+33 26'16""",12.3,2.39,1.46,155.21,35.32,-24.50,20231129
12,139,139 Juewa (A874 TA),11:41,14:03,16:25,04:44,03:00:11,"+30 54'44""",12.3,2.89,1.94,160.32,30.92,-24.57,20231129
13,241,241 Germania (A884 RA),12:06,14:07,16:07,04:00,03:03:57,"+22 16'38""",12.0,2.89,1.93,163.03,31.49,-31.38,20231129
14,409,409 Aspasia (A895 XC),12:15,14:07,15:58,03:42,03:03:56,"+19 37'57""",11.6,2.76,1.81,162.81,32.32,-33.55,20231129
15,154,154 Bertha (A875 VD),11:53,14:09,16:26,04:32,03:06:51,"+28 00'58""",12.7,3.40,2.44,162.74,29.70,-26.25,20231129
16,144,144 Vibilia (A875 LA),12:49,14:21,15:54,03:05,03:18:55,"+15 26'45""",10.7,2.16,1.19,165.02,30.76,-34.67,20231129
17,895,895 Helio (A918 NA),11:57,14:28,16:58,05:01,03:25:01,"+36 25'56""",12.4,2.77,1.82,161.13,26.21,-17.13,20231129
18,363,363 Padua (A893 FD),12:55,14:44,16:32,03:36,03:41:05,"+18 52'08""",12.6,2.64,1.66,171.21,24.50,-28.60,20231129
19,481,481 Emita (A902 CB),13:01,14:44,16:28,03:27,03:41:39,"+17 47'47""",11.6,2.31,1.33,170.95,24.84,-29.29,20231129
20,182,182 Elsa (A878 CC),13:07,14:46,16:25,03:18,03:43:37,"+16 48'51""",11.0,1.96,0.984,170.91,24.89,-29.67,20231129
21,24,24 Themis (A853 GA),12:57,14:51,16:45,03:48,03:48:39,"+20 29'07""",11.5,3.06,2.08,173.32,22.22,-26.20,20231129
22,70,70 Panopaea (A861 JA),12:48,14:57,17:06,04:18,03:54:06,"+25 11'34""",12.0,2.78,1.80,173.47,19.65,-21.91,20231129
23,503,503 Evelyn (A903 BL),13:08,14:58,16:49,03:40,03:55:54,"+19 27'35""",12.2,2.37,1.38,174.71,21.08,-25.74,20231129
24,113,113 Amalthea (A871 EA),13:43,15:04,16:25,02:41,04:01:37,"+13 19'25""",11.8,2.53,1.55,171.19,23.28,-28.94,20231129
25,65,65 Cybele (A861 EB),13:32,15:07,16:42,03:10,04:04:54,"+15 55'57""",12.3,3.82,2.84,173.89,21.05,-26.61,20231129
26,306,306 Unitas (A891 EA),14:30,15:16,16:02,01:31,04:13:30,"+09 09'17""",12.0,2.46,1.48,167.79,24.20,-29.38,20231129
