,Designation,Full name,Rise time,Transit time,Set time,Max. time observable,R.A.,Dec.,Vmag,Helio. range (au),Topo.range (au),Object-Observer-Sun (deg),Object-Observer-Moon (deg),Galactic latitude (deg),OBSdate(UT)
0,602,602 Marianna (A906 DJ),10:40,11:58,13:16,02:36,23:20:17,"+12 57'22""",12.4,2.31,1.52,132.11,124.9,-44.19,20231105
1,678,678 Fredegundis (A909 BQ),11:29,12:32,13:35,02:05,23:54:28,"+10 50'23""",12.2,2.03,1.17,139.97,119.6,-49.62,20231105
2,120,120 Lachesis (A872 GB),12:14,13:39,15:03,02:49,01:01:22,"+13 58'49""",12.8,3.28,2.34,156.59,104.2,-48.97,20231105
3,639,639 Latona (A907 OA),11:56,13:53,15:50,03:54,01:16:06,"+21 16'14""",12.4,2.75,1.80,159.72,97.54,-41.40,20231105
4,123,123 Brunhild (A872 OB),12:10,14:05,16:00,03:49,01:28:02,"+20 41'24""",12.3,2.43,1.46,162.56,95.38,-41.55,20231105
5,135,135 Hertha (A874 DA),12:51,14:10,15:29,02:38,01:32:53,"+13 07'05""",11.0,2.16,1.19,164.05,97.85,-48.71,20231105
6,122,122 Gerda (A872 OA),13:33,14:22,15:11,01:38,01:44:50,"+09 27'19""",12.5,3.25,2.28,165.72,96.84,-51.41,20231105
7,509,509 Iolanda (A903 HD),13:26,14:47,16:08,02:41,02:09:57,"+13 19'37""",12.2,2.79,1.80,172.88,89.63,-45.52,20231105
8,127,127 Johanna (A872 VB),13:20,14:49,16:19,02:59,02:12:07,"+14 52'53""",12.2,2.73,1.75,173.72,88.50,-43.89,20231105
9,595,595 Polyxena (A906 FL),12:57,14:55,16:53,03:56,02:18:19,"+21 34'40""",12.6,3.22,2.24,172.27,84.44,-37.19,20231105
10,21,21 Lutetia (A852 VA),14:04,15:12,16:19,02:14,02:34:48,"+11 25'35""",9.99,2.24,1.25,175.93,84.85,-44.27,20231105
11,447,447 Valentine (A899 UD),14:07,15:13,16:20,02:12,02:36:25,"+11 17'06""",12.9,2.85,1.86,175.85,84.54,-44.18,20231105
12,93,93 Minerva (A867 QA),13:18,15:27,17:36,04:18,02:49:55,"+25 14'09""",12.1,2.95,1.97,169.80,76.35,-30.61,20231105
13,119,119 Althaea (A872 GA),14:09,15:27,16:45,02:36,02:50:14,"+12 56'12""",11.3,2.39,1.40,176.14,80.78,-40.91,20231105
14,132,132 Aethra (A873 LA),13:11,15:44,18:17,05:05,03:06:45,"+38 44'02""",12.5,2.50,1.56,155.85,68.90,-17.18,20231105
15,241,241 Germania (A884 RA),13:55,16:01,18:07,04:12,03:24:02,"+24 11'38""",11.9,2.86,1.89,166.08,69.36,-27.11,20231105
16,139,139 Juewa (A874 TA),13:39,16:02,18:26,04:46,03:25:19,"+31 32'52""",12.4,2.93,1.98,160.60,67.02,-21.07,20231105
17,409,409 Aspasia (A895 XC),14:01,16:03,18:04,04:02,03:25:53,"+22 34'53""",11.5,2.76,1.79,166.62,69.45,-28.11,20231105
18,154,154 Bertha (A875 VD),13:52,16:07,18:23,04:30,03:30:30,"+27 37'26""",12.7,3.40,2.44,162.77,66.97,-23.51,20231105
19,90,90 Antiope (A866 TA),14:25,16:10,17:55,03:29,03:33:30,"+18 06'30""",13.0,3.11,2.14,166.46,69.20,-30.37,20231105
20,144,144 Vibilia (A875 LA),14:46,16:19,17:52,03:06,03:41:51,"+15 33'08""",10.6,2.12,1.14,164.63,68.18,-30.87,20231105
21,895,895 Helio (A918 NA),13:50,16:25,18:59,05:08,03:47:41,"+40 26'27""",12.6,2.79,1.88,150.75,60.83,-11.26,20231105
22,363,363 Padua (A893 FD),14:52,16:41,18:30,03:38,04:03:59,"+19 06'34""",12.9,2.62,1.67,159.17,62.04,-24.61,20231105
23,182,182 Elsa (A878 CC),15:00,16:42,18:25,03:25,04:05:41,"+17 34'46""",11.3,1.97,1.01,158.89,62.12,-25.36,20231105
24,481,481 Emita (A902 CB),15:02,16:42,18:22,03:19,04:05:19,"+16 54'12""",11.9,2.31,1.35,159.00,62.42,-25.88,20231105
25,24,24 Themis (A853 GA),14:48,16:45,18:43,03:54,04:08:29,"+21 20'51""",11.9,3.09,2.15,157.76,60.38,-22.31,20231105
26,503,503 Evelyn (A903 BL),15:04,16:55,18:45,03:41,04:18:03,"+19 31'13""",12.7,2.40,1.46,155.82,58.74,-21.89,20231105
27,70,70 Panopaea (A861 JA),14:49,16:57,19:04,04:15,04:19:55,"+24 43'04""",12.3,2.74,1.81,154.39,56.97,-18.08,20231105
28,65,65 Cybele (A861 EB),15:20,16:59,18:38,03:18,04:22:04,"+16 47'48""",12.7,3.82,2.89,154.99,58.65,-22.94,20231105
29,113,113 Amalthea (A871 EA),15:36,17:02,18:28,02:52,04:25:02,"+14 15'32""",12.1,2.54,1.61,154.13,58.79,-23.99,20231105
30,346,346 Hermentaria (A892 WC),15:45,17:12,18:39,02:53,04:34:57,"+14 22'35""",11.2,2.55,1.63,151.75,56.49,-22.03,20231105
31,306,306 Unitas (A891 EA),16:16,17:14,18:11,01:55,04:36:58,"+10 16'13""",12.3,2.42,1.50,150.58,57.47,-24.09,20231105
32,358,358 Apollonia (A893 EC),15:39,17:19,18:58,03:19,04:41:50,"+16 56'29""",12.8,2.44,1.53,150.27,54.10,-19.16,20231105
33,95,95 Arethusa (A867 WA),15:21,17:23,19:25,04:04,04:46:14,"+22 52'26""",12.0,2.63,1.73,148.89,51.53,-14.69,20231105
34,758,758 Mancunia (A912 KB),15:48,17:26,19:04,03:15,04:48:56,"+16 32'10""",12.6,2.72,1.82,148.55,52.61,-18.04,20231105
35,480,480 Hansa (A901 KB),15:43,17:33,19:24,03:40,04:56:26,"+19 28'23""",12.1,2.54,1.65,146.80,50.06,-14.86,20231105
36,498,498 Tokio (A902 XA),16:33,18:11,19:48,03:14,05:34:02,"+16 21'24""",12.9,2.51,1.68,137.75,42.36,-9.18,20231105
37,389,389 Industria (A894 EE),15:55,18:15,20:34*,04:34,05:38:01,"+29 31'04""",12.4,2.68,1.88,136.40,39.11,-1.39,20231105
38,37,37 Fides (A855 TB),16:32,18:48,21:03*,03:57,06:11:05,"+27 41'30""",10.8,2.18,1.41,129.35,31.92,3.94,20231105
39,488,488 Kreusa (A902 MC),16:49,18:49,20:49*,03:39,06:12:31,"+22 01'53""",12.9,3.02,2.30,129.03,32.16,1.52,20231105
40,704,704 Interamnia (A910 TC),16:24,18:50,21:16*,04:05,06:13:16,"+33 12'11""",11.0,2.77,2.04,128.45,31.76,6.96,20231105
41,776,776 Berbericia (A914 BE),17:01,19:02,21:02*,03:27,06:25:31,"+22 19'30""",11.9,2.58,1.87,126.04,29.14,4.31,20231105
42,4,4 Vesta (A807 FA),17:19,19:08,20:57*,03:10,06:31:39,"+19 04'07""",7.40,2.57,1.88,124.34,28.43,4.10,20231105
43,9,9 Metis (A848 HA),17:02,19:08,21:14*,03:26,06:31:31,"+24 00'23""",9.66,2.09,1.36,124.75,27.55,6.31,20231105
44,48,48 Doris (A857 SA),17:52,19:21,20:50*,02:37,06:44:20,"+14 45'04""",12.2,2.91,2.27,120.76,27.01,4.85,20231105
45,5,5 Astraea (A845 XA),17:47,19:23,21:00*,02:42,06:47:06,"+16 15'11""",10.9,2.28,1.62,120.33,25.81,6.11,20231105
46,92,92 Undina (A867 NA),18:27,20:21,22:15*,02:02,07:44:55,"+20 28'20""",12.6,3.32,2.88,107.48,11.49,20.35,20231105
47,128,128 Nemesis (A872 WA),19:11,21:11*,23:11*,01:17,08:34:53,"+22 02'16""",12.8,2.67,2.37,96.43,1.942,31.79,20231105
48,78,78 Diana (A863 EA),19:11,21:24*,23:36*,01:18,08:47:34,"+26 33'31""",12.6,2.13,1.80,94.76,4.359,35.89,20231105
49,71,71 Niobe (A861 PA),19:05,21:28*,23:51*,01:23,08:52:19,"+31 17'30""",12.4,2.92,2.66,94.98,8.622,38.00,20231105
