,Designation,Full name,Rise time,Transit time,Set time,Max. time observable,R.A.,Dec.,Vmag,Helio. range (au),Topo.range (au),Object-Observer-Sun (deg),Object-Observer-Moon (deg),Galactic latitude (deg),OBSdate(UT)
0,602,602 Marianna (A906 DJ),10:28,11:46,13:04,02:36,23:20:18,"+12 57'17""",12.5,2.31,1.55,129.31,155.1,-44.20,20231108
1,678,678 Fredegundis (A909 BQ),11:20,12:20,13:21,02:01,23:54:24,"+10 35'48""",12.3,2.03,1.19,137.02,153.5,-49.84,20231108
2,120,120 Lachesis (A872 GB),12:02,13:25,14:49,02:46,00:59:32,"+13 47'54""",12.9,3.28,2.36,153.24,139.8,-49.17,20231108
3,639,639 Latona (A907 OA),11:44,13:40,15:36,03:51,01:14:14,"+20 55'37""",12.4,2.76,1.82,156.88,132.7,-41.79,20231108
4,123,123 Brunhild (A872 OB),11:57,13:51,15:45,03:47,01:25:42,"+20 24'07""",12.4,2.43,1.47,159.61,130.9,-41.93,20231108
5,135,135 Hertha (A874 DA),12:38,13:56,15:14,02:35,01:30:34,"+12 54'16""",11.1,2.17,1.21,160.50,134.0,-49.05,20231108
6,122,122 Gerda (A872 OA),13:21,14:08,14:55,01:33,01:42:49,"+09 15'13""",12.5,3.25,2.30,162.18,133.0,-51.76,20231108
7,509,509 Iolanda (A903 HD),13:16,14:33,15:51,02:35,02:07:50,"+12 51'15""",12.3,2.79,1.81,169.24,125.9,-46.16,20231108
8,127,127 Johanna (A872 VB),13:05,14:35,16:04,02:58,02:09:17,"+14 47'17""",12.3,2.73,1.75,170.08,124.8,-44.26,20231108
9,595,595 Polyxena (A906 FL),12:43,14:41,16:39,03:56,02:15:29,"+21 33'33""",12.6,3.22,2.24,170.31,120.4,-37.47,20231108
10,21,21 Lutetia (A852 VA),13:51,14:57,16:03,02:12,02:31:48,"+11 16'14""",10.1,2.25,1.26,173.29,121.0,-44.79,20231108
11,447,447 Valentine (A899 UD),13:54,14:59,16:04,02:10,02:33:51,"+11 09'32""",13.0,2.85,1.87,173.52,120.6,-44.62,20231108
12,93,93 Minerva (A867 QA),13:03,15:12,17:21,04:17,02:46:55,"+25 07'28""",12.1,2.95,1.97,171.17,112.4,-31.05,20231108
13,119,119 Althaea (A872 GA),13:57,15:13,16:29,02:31,02:47:33,"+12 35'54""",11.3,2.39,1.40,176.23,117.0,-41.57,20231108
14,132,132 Aethra (A873 LA),12:56,15:28,18:01,05:04,03:03:12,"+38 14'40""",12.4,2.48,1.54,157.89,103.6,-17.95,20231108
15,139,139 Juewa (A874 TA),13:24,15:47,18:11,04:46,03:22:14,"+31 32'54""",12.3,2.93,1.96,163.10,102.7,-21.45,20231108
16,241,241 Germania (A884 RA),13:41,15:47,17:52,04:11,03:21:29,"+23 59'16""",11.8,2.87,1.89,169.35,105.5,-27.63,20231108
17,409,409 Aspasia (A895 XC),13:48,15:48,17:49,04:00,03:23:07,"+22 14'28""",11.4,2.76,1.78,170.19,105.8,-28.78,20231108
18,154,154 Bertha (A875 VD),13:37,15:53,18:08,04:30,03:27:37,"+27 43'23""",12.7,3.40,2.43,165.66,103.0,-23.83,20231108
19,90,90 Antiope (A866 TA),14:12,15:56,17:41,03:28,03:31:01,"+17 59'19""",12.9,3.12,2.14,170.05,105.3,-30.85,20231108
20,144,144 Vibilia (A875 LA),14:31,16:04,17:37,03:06,03:39:03,"+15 31'40""",10.5,2.12,1.14,168.17,104.2,-31.36,20231108
21,895,895 Helio (A918 NA),13:36,16:10,18:44,05:07,03:44:59,"+40 04'18""",12.6,2.79,1.86,153.41,95.41,-11.87,20231108
22,363,363 Padua (A893 FD),14:37,16:26,18:15,03:37,04:01:24,"+19 05'35""",12.8,2.62,1.66,162.77,98.10,-25.07,20231108
23,182,182 Elsa (A878 CC),14:46,16:28,18:11,03:24,04:03:22,"+17 29'11""",11.2,1.96,0.997,162.41,98.04,-25.83,20231108
24,481,481 Emita (A902 CB),14:48,16:28,18:08,03:20,04:02:44,"+17 00'50""",11.8,2.31,1.34,162.57,98.31,-26.26,20231108
25,24,24 Themis (A853 GA),14:34,16:31,18:28,03:53,04:06:17,"+21 15'45""",11.8,3.09,2.13,161.29,96.44,-22.74,20231108
26,503,503 Evelyn (A903 BL),14:50,16:41,18:31,03:41,04:15:47,"+19 31'38""",12.6,2.40,1.44,159.35,94.70,-22.28,20231108
27,70,70 Panopaea (A861 JA),14:34,16:42,18:50,04:16,04:17:03,"+24 49'19""",12.3,2.75,1.80,157.95,93.18,-18.49,20231108
28,65,65 Cybele (A861 EB),15:06,16:45,18:24,03:17,04:20:10,"+16 41'20""",12.6,3.82,2.88,158.39,94.32,-23.36,20231108
29,113,113 Amalthea (A871 EA),15:22,16:48,18:13,02:50,04:22:34,"+14 07'43""",12.1,2.54,1.59,157.57,94.32,-24.54,20231108
30,346,346 Hermentaria (A892 WC),15:31,16:58,18:25,02:53,04:32:47,"+14 22'43""",11.1,2.55,1.62,155.15,91.84,-22.45,20231108
31,306,306 Unitas (A891 EA),16:04,16:59,17:55,01:51,04:34:30,"+10 05'17""",12.3,2.42,1.49,153.83,92.30,-24.69,20231108
32,358,358 Apollonia (A893 EC),15:26,17:05,18:44,03:18,04:40:04,"+16 47'36""",12.7,2.44,1.51,153.63,89.64,-19.58,20231108
33,95,95 Arethusa (A867 WA),15:08,17:09,19:11,04:02,04:44:26,"+22 34'07""",12.0,2.63,1.71,152.35,87.53,-15.21,20231108
34,758,758 Mancunia (A912 KB),15:34,17:12,18:50,03:15,04:47:14,"+16 30'00""",12.5,2.72,1.80,151.90,88.01,-18.39,20231108
35,480,480 Hansa (A901 KB),15:31,17:19,19:08,03:36,04:54:32,"+18 57'35""",12.1,2.54,1.63,150.24,85.86,-15.53,20231108
36,498,498 Tokio (A902 XA),16:20,17:57,19:35,03:14,05:32:27,"+16 24'28""",12.8,2.51,1.66,141.09,77.33,-9.48,20231108
37,389,389 Industria (A894 EE),15:42,18:01,20:21,04:38,05:36:44,"+29 28'52""",12.3,2.68,1.85,139.65,74.97,-1.65,20231108
38,159,159 Aemilia (A876 BA),16:40,18:16,19:51,03:10,05:50:48,"+16 00'37""",13.0,2.84,2.04,136.67,73.01,-5.91,20231108
39,37,37 Fides (A855 TB),16:20,18:36,20:52*,04:11,06:11:15,"+27 48'22""",10.7,2.18,1.39,132.31,67.47,4.03,20231108
40,488,488 Kreusa (A902 MC),16:37,18:37,20:37*,03:55,06:12:01,"+22 09'52""",12.9,3.02,2.26,132.16,67.49,1.48,20231108
41,704,704 Interamnia (A910 TC),16:11,18:37,21:03*,04:20,06:12:26,"+33 06'06""",11.0,2.78,2.02,131.57,67.26,6.76,20231108
42,776,776 Berbericia (A914 BE),16:48,18:50,20:51*,03:43,06:25:10,"+22 38'26""",11.9,2.59,1.84,129.15,64.43,4.39,20231108
43,4,4 Vesta (A807 FA),17:07,18:56,20:45*,03:24,06:31:23,"+19 06'26""",7.35,2.57,1.85,127.41,63.11,4.06,20231108
44,9,9 Metis (A848 HA),16:51,18:57,21:03*,03:41,06:32:13,"+24 10'14""",9.59,2.09,1.34,127.60,62.79,6.52,20231108
45,48,48 Doris (A857 SA),17:41,19:09,20:37*,02:51,06:44:25,"+14 36'26""",12.1,2.91,2.24,123.68,60.28,4.80,20231108
46,5,5 Astraea (A845 XA),17:37,19:13,20:49*,02:55,06:48:06,"+16 09'16""",10.8,2.28,1.58,123.06,59.29,6.29,20231108
47,92,92 Undina (A867 NA),18:16,20:10,22:04*,02:16,07:45:38,"+20 31'41""",12.6,3.32,2.85,110.33,45.68,20.52,20231108
48,128,128 Nemesis (A872 WA),19:02,21:01*,23:01*,01:30,08:37:06,"+22 02'23""",12.8,2.68,2.34,98.94,34.08,32.28,20231108
49,78,78 Diana (A863 EA),19:04,21:16*,23:28*,01:28,08:51:38,"+26 21'13""",12.6,2.13,1.77,96.80,32.27,36.72,20231108
