,Designation,Full name,Rise time,Transit time,Set time,Max. time observable,R.A.,Dec.,Vmag,Helio. range (au),Topo.range (au),Object-Observer-Sun (deg),Object-Observer-Moon (deg),Galactic latitude (deg),OBSdate(UT)
0,602,602 Marianna (A906 DJ),09:25*,10:45,12:04,02:17,23:25:34,"+13 13'34""",12.8,2.31,1.72,114.39,32.25,-44.57,20231125
1,678,678 Fredegundis (A909 BQ),10:26,11:19,12:11,01:44,23:59:52,"+09 43'57""",12.7,2.02,1.32,121.36,23.85,-51.11,20231125
2,639,639 Latona (A907 OA),10:37,12:26,14:15,03:37,01:07:20,"+19 05'11""",12.8,2.77,1.94,139.49,11.52,-43.78,20231125
3,123,123 Brunhild (A872 OB),10:47,12:35,14:23,03:35,01:16:31,"+18 49'31""",12.7,2.41,1.56,141.59,10.07,-43.81,20231125
4,135,135 Hertha (A874 DA),11:29,12:41,13:53,02:23,01:22:17,"+12 01'31""",11.6,2.21,1.35,141.31,4.071,-50.32,20231125
5,122,122 Gerda (A872 OA),12:18,12:52,13:27,01:08,01:33:40,"+08 20'47""",12.9,3.25,2.41,142.64,1.831,-53.28,20231125
6,127,127 Johanna (A872 VB),11:47,13:14,14:41,02:53,01:55:30,"+14 20'21""",12.7,2.72,1.82,149.72,6.306,-45.93,20231125
7,509,509 Iolanda (A903 HD),12:18,13:17,14:16,01:58,01:58:12,"+10 26'20""",12.7,2.79,1.90,149.03,5.301,-49.32,20231125
8,595,595 Polyxena (A906 FL),11:23,13:20,15:17,03:54,02:01:18,"+21 20'24""",13.0,3.23,2.33,152.32,12.77,-38.89,20231125
9,21,21 Lutetia (A852 VA),12:35,13:36,14:37,02:02,02:17:21,"+10 39'06""",10.7,2.28,1.35,153.42,10.01,-47.11,20231125
10,93,93 Minerva (A867 QA),11:43,13:49,15:56,04:12,02:31:02,"+24 16'11""",12.3,2.97,2.03,159.14,19.25,-33.50,20231125
11,119,119 Althaea (A872 GA),12:49,13:52,14:55,02:06,02:33:50,"+10 53'56""",11.8,2.40,1.46,157.16,14.07,-44.84,20231125
12,132,132 Aethra (A873 LA),11:34,14:02,16:30,04:56,02:43:11,"+34 30'12""",12.3,2.41,1.47,158.08,28.82,-23.16,20231125
13,139,139 Juewa (A874 TA),12:00,14:23,16:45,04:44,03:04:11,"+31 06'29""",12.3,2.90,1.94,163.64,29.27,-23.96,20231125
14,241,241 Germania (A884 RA),12:24,14:25,16:27,04:02,03:07:01,"+22 37'13""",11.9,2.88,1.91,167.53,25.01,-30.70,20231125
15,409,409 Aspasia (A895 XC),12:33,14:26,16:19,03:45,03:07:18,"+20 08'06""",11.5,2.76,1.79,167.65,24.05,-32.68,20231125
16,154,154 Bertha (A875 VD),12:13,14:29,16:45,04:32,03:10:40,"+28 00'31""",12.7,3.40,2.43,166.54,28.47,-25.79,20231125
17,90,90 Antiope (A866 TA),12:54,14:35,16:16,03:22,03:16:39,"+17 16'29""",13.0,3.15,2.17,169.24,25.31,-33.60,20231125
18,144,144 Vibilia (A875 LA),13:08,14:41,16:13,03:05,03:22:28,"+15 26'08""",10.5,2.15,1.17,169.71,26.33,-34.12,20231125
19,895,895 Helio (A918 NA),12:15,14:47,17:18,05:02,03:28:39,"+37 14'49""",12.4,2.78,1.82,161.99,37.11,-16.05,20231125
20,363,363 Padua (A893 FD),13:15,15:03,16:51,03:36,03:44:58,"+18 55'04""",12.5,2.64,1.65,176.10,32.23,-27.93,20231125
21,481,481 Emita (A902 CB),13:21,15:04,16:47,03:25,03:45:44,"+17 38'32""",11.5,2.31,1.32,175.53,32.18,-28.73,20231125
22,182,182 Elsa (A878 CC),13:26,15:06,16:45,03:19,03:47:27,"+16 55'40""",10.9,1.96,0.979,175.30,32.48,-28.95,20231125
23,24,24 Themis (A853 GA),13:15,15:10,17:05,03:49,03:52:06,"+20 38'58""",11.4,3.07,2.08,178.16,34.24,-25.52,20231125
24,70,70 Panopaea (A861 JA),13:08,15:17,17:26,04:17,03:58:35,"+25 10'07""",11.9,2.78,1.79,175.40,36.88,-21.23,20231125
25,503,503 Evelyn (A903 BL),13:28,15:18,17:09,03:41,03:59:57,"+19 28'55""",12.0,2.37,1.38,178.90,35.81,-25.04,20231125
26,113,113 Amalthea (A871 EA),14:03,15:24,16:45,02:42,04:05:50,"+13 27'01""",11.8,2.53,1.55,172.74,36.63,-28.09,20231125
27,65,65 Cybele (A861 EB),13:50,15:26,17:02,03:11,04:07:55,"+16 04'13""",12.3,3.82,2.84,175.11,37.26,-25.98,20231125
28,306,306 Unitas (A891 EA),14:49,15:36,16:23,01:34,04:17:44,"+09 16'19""",12.0,2.45,1.47,167.91,39.67,-28.49,20231125
