,Designation,Full name,Rise time,Transit time,Set time,Max. time observable,R.A.,Dec.,Vmag,Helio. range (au),Topo.range (au),Object-Observer-Sun (deg),Object-Observer-Moon (deg),Galactic latitude (deg),OBSdate(UT)
0,602,602 Marianna (A906 DJ),09:35*,10:55,12:14,02:26,23:24:02,"+13 08'20""",12.7,2.31,1.69,116.90,23.54,-44.47,20231122
1,678,678 Fredegundis (A909 BQ),10:36,11:29,12:22,01:46,23:58:13,"+09 48'59""",12.6,2.02,1.29,123.98,23.83,-50.89,20231122
2,639,639 Latona (A907 OA),10:48,12:38,14:29,03:40,01:08:03,"+19 23'05""",12.7,2.77,1.92,142.59,42.25,-43.47,20231122
3,123,123 Brunhild (A872 OB),10:59,12:48,14:37,03:37,01:17:34,"+19 04'51""",12.7,2.42,1.54,144.77,43.78,-43.53,20231122
4,135,135 Hertha (A874 DA),11:41,12:54,14:06,02:25,01:23:06,"+12 07'48""",11.5,2.20,1.32,144.55,40.90,-50.18,20231122
5,122,122 Gerda (A872 OA),12:29,13:05,13:42,01:12,01:34:56,"+08 28'16""",12.8,3.25,2.38,146.01,41.73,-53.08,20231122
6,127,127 Johanna (A872 VB),12:01,13:28,14:55,02:53,01:57:33,"+14 23'58""",12.7,2.72,1.80,153.23,49.32,-45.70,20231122
7,509,509 Iolanda (A903 HD),12:27,13:30,14:32,02:04,01:59:32,"+10 49'11""",12.7,2.79,1.88,152.51,48.22,-48.85,20231122
8,595,595 Polyxena (A906 FL),11:36,13:34,15:31,03:54,02:03:29,"+21 23'05""",12.9,3.23,2.31,155.69,53.95,-38.67,20231122
9,21,21 Lutetia (A852 VA),12:48,13:50,14:51,02:03,02:19:27,"+10 43'08""",10.6,2.27,1.33,156.92,52.70,-46.80,20231122
10,93,93 Minerva (A867 QA),11:57,14:04,16:11,04:13,02:33:34,"+24 26'17""",12.3,2.97,2.01,162.36,61.48,-33.09,20231122
11,119,119 Althaea (A872 GA),13:01,14:06,15:11,02:10,02:35:56,"+11 09'29""",11.7,2.40,1.44,160.71,56.64,-44.35,20231122
12,132,132 Aethra (A873 LA),11:48,14:17,16:46,04:58,02:46:30,"+35 15'59""",12.3,2.42,1.47,159.65,69.14,-22.17,20231122
13,139,139 Juewa (A874 TA),12:15,14:37,17:00,04:45,03:07:18,"+31 14'07""",12.2,2.90,1.94,165.56,71.17,-23.49,20231122
14,241,241 Germania (A884 RA),12:37,14:40,16:42,04:04,03:09:27,"+22 52'36""",11.8,2.88,1.90,170.71,68.31,-30.16,20231122
15,409,409 Aspasia (A895 XC),12:46,14:40,16:34,03:48,03:09:58,"+20 30'56""",11.4,2.76,1.78,171.22,67.57,-32.01,20231122
16,154,154 Bertha (A875 VD),12:28,14:44,17:00,04:32,03:13:37,"+27 59'23""",12.6,3.40,2.42,168.87,71.12,-25.44,20231122
17,90,90 Antiope (A866 TA),13:07,14:49,16:31,03:23,03:19:07,"+17 23'55""",12.9,3.14,2.16,172.85,68.57,-33.14,20231122
18,144,144 Vibilia (A875 LA),13:23,14:55,16:28,03:05,03:25:18,"+15 26'19""",10.4,2.15,1.16,173.08,69.38,-33.67,20231122
19,895,895 Helio (A918 NA),12:30,15:02,17:34,05:04,03:31:30,"+37 49'36""",12.4,2.78,1.82,161.79,78.38,-15.25,20231122
20,363,363 Padua (A893 FD),13:29,15:18,17:06,03:36,03:47:56,"+18 57'16""",12.4,2.63,1.65,179.00,75.57,-27.42,20231122
21,481,481 Emita (A902 CB),13:36,15:19,17:01,03:24,03:48:51,"+17 31'45""",11.4,2.31,1.32,177.56,75.39,-28.29,20231122
22,182,182 Elsa (A878 CC),13:40,15:20,17:01,03:20,03:50:24,"+17 01'17""",10.8,1.96,0.977,176.99,75.61,-28.38,20231122
23,24,24 Themis (A853 GA),13:29,15:25,17:20,03:50,03:54:43,"+20 46'11""",11.4,3.07,2.09,178.09,77.60,-25.01,20231122
24,70,70 Panopaea (A861 JA),13:23,15:32,17:41,04:17,04:01:58,"+25 08'14""",12.0,2.77,1.79,173.81,80.39,-20.72,20231122
25,503,503 Evelyn (A903 BL),13:42,15:33,17:24,03:41,04:02:58,"+19 29'51""",12.1,2.38,1.39,176.30,79.13,-24.52,20231122
26,113,113 Amalthea (A871 EA),14:17,15:39,17:01,02:44,04:08:59,"+13 33'22""",11.8,2.53,1.55,171.77,79.11,-27.44,20231122
27,65,65 Cybele (A861 EB),14:04,15:40,17:16,03:12,04:10:11,"+16 10'37""",12.3,3.82,2.84,173.39,79.99,-25.50,20231122
28,346,346 Hermentaria (A892 WC),14:23,15:50,17:18,02:54,04:20:30,"+14 27'08""",10.8,2.56,1.58,170.36,82.03,-24.73,20231122
29,306,306 Unitas (A891 EA),15:02,15:51,16:39,01:36,04:20:54,"+09 22'52""",12.0,2.44,1.47,166.69,81.07,-27.80,20231122
30,358,358 Apollonia (A893 EC),14:23,15:59,17:35,03:11,04:29:26,"+16 05'43""",12.3,2.44,1.46,169.28,84.48,-22.02,20231122
31,347,347 Pariana (A892 WD),14:30,16:02,17:34,03:04,04:32:20,"+15 21'29""",12.7,2.68,1.71,168.35,85.02,-21.93,20231122
32,95,95 Arethusa (A867 WA),14:08,16:04,18:00,03:52,04:33:46,"+20 59'45""",11.6,2.64,1.67,169.08,86.51,-18.12,20231122
33,758,758 Mancunia (A912 KB),14:30,16:07,17:44,03:14,04:37:04,"+16 21'11""",12.2,2.72,1.75,167.66,86.33,-20.42,20231122
34,480,480 Hansa (A901 KB),14:35,16:13,17:50,03:14,04:43:00,"+16 24'59""",11.7,2.53,1.56,166.32,87.74,-19.25,20231122
35,317,317 Roxane (A891 RD),14:39,16:30,18:22,03:42,05:00:28,"+19 40'40""",12.7,2.27,1.31,162.80,92.41,-13.97,20231122
36,160,160 Una (A876 DA),14:27,16:44,19:01,04:34,05:13:48,"+28 26'58""",12.8,2.55,1.61,158.57,96.75,-6.38,20231122
37,498,498 Tokio (A902 XA),15:13,16:52,18:30,03:17,05:21:49,"+16 43'27""",12.6,2.55,1.61,157.37,96.96,-11.46,20231122
38,210,210 Isabella (A879 VA),14:37,16:55,19:12,04:35,05:24:52,"+28 45'31""",12.8,2.41,1.48,156.16,99.19,-4.21,20231122
39,389,389 Industria (A894 EE),14:38,16:57,19:16,04:37,05:27:14,"+29 08'58""",12.0,2.67,1.74,155.56,99.75,-3.56,20231122
40,159,159 Aemilia (A876 BA),15:40,17:14,18:48,03:08,05:44:21,"+15 48'08""",12.7,2.83,1.92,151.89,102.2,-7.35,20231122
41,407,407 Arachne (A895 TB),15:05,17:26,19:47,04:42,05:56:28,"+30 29'30""",13.0,2.53,1.63,149.08,106.2,2.53,20231122
42,704,704 Interamnia (A910 TC),15:10,17:35,19:59,04:49,06:04:53,"+32 28'23""",10.7,2.80,1.92,146.89,108.0,5.07,20231122
43,488,488 Kreusa (A902 MC),15:34,17:36,19:38,04:04,06:06:35,"+22 51'42""",12.6,3.00,2.12,147.53,108.1,0.72,20231122
44,37,37 Fides (A855 TB),15:20,17:37,19:54,04:33,06:07:31,"+28 19'40""",10.4,2.18,1.29,147.07,108.5,3.56,20231122
45,776,776 Berbericia (A914 BE),15:43,17:49,19:56,04:12,06:19:47,"+24 15'59""",11.6,2.61,1.74,144.53,111.2,4.05,20231122
46,4,4 Vesta (A807 FA),16:06,17:56,19:46,03:40,06:26:22,"+19 23'59""",7.06,2.57,1.72,142.65,112.5,3.14,20231122
47,9,9 Metis (A848 HA),15:52,18:00,20:09,04:17,06:30:50,"+25 04'03""",9.24,2.09,1.22,142.04,113.7,6.64,20231122
48,48,48 Doris (A857 SA),16:47,18:11,19:36,02:49,06:41:47,"+14 01'16""",11.9,2.91,2.10,137.98,115.8,3.97,20231122
49,5,5 Astraea (A845 XA),16:44,18:19,19:53,03:08,06:49:01,"+15 48'58""",10.5,2.25,1.43,136.70,117.7,6.33,20231122
