,Designation,Full name,Rise time,Transit time,Set time,Max. time observable,R.A.,Dec.,Vmag,Helio. range (au),Topo.range (au),Object-Observer-Sun (deg),Object-Observer-Moon (deg),Galactic latitude (deg),OBSdate(UT)
0,602,602 Marianna (A906 DJ),09:17*,10:38,11:58,02:12,23:26:44,"+13 17'39""",12.8,2.31,1.74,112.75,57.04,-44.64,20231127
1,678,678 Fredegundis (A909 BQ),10:20,11:12,12:04,01:43,00:01:07,"+09 41'37""",12.7,2.02,1.34,119.65,50.14,-51.24,20231127
2,639,639 Latona (A907 OA),10:30,12:18,14:06,03:36,01:06:59,"+18 53'48""",12.9,2.77,1.96,137.44,32.35,-43.97,20231127
3,123,123 Brunhild (A872 OB),10:39,12:27,14:14,03:34,01:15:59,"+18 39'50""",12.8,2.41,1.58,139.49,30.29,-43.99,20231127
4,135,135 Hertha (A874 DA),11:21,12:33,13:44,02:22,01:21:54,"+11 58'09""",11.7,2.21,1.37,139.19,30.73,-50.39,20231127
5,122,122 Gerda (A872 OA),12:10,12:44,13:17,01:06,01:32:54,"+08 16'23""",12.9,3.25,2.43,140.42,29.83,-53.40,20231127
6,127,127 Johanna (A872 VB),11:38,13:05,14:31,02:52,01:54:15,"+14 18'19""",12.8,2.72,1.83,147.40,22.54,-46.07,20231127
7,509,509 Iolanda (A903 HD),12:11,13:08,14:05,01:53,01:57:24,"+10 11'55""",12.8,2.79,1.92,146.74,23.62,-49.62,20231127
8,21,21 Lutetia (A852 VA),12:26,13:27,14:27,02:01,02:16:05,"+10 37'08""",10.7,2.28,1.36,151.11,19.51,-47.28,20231127
9,93,93 Minerva (A867 QA),11:34,13:40,15:46,04:12,02:29:27,"+24 09'22""",12.4,2.97,2.04,156.95,13.08,-33.76,20231127
10,119,119 Althaea (A872 GA),12:41,13:43,14:45,02:03,02:32:31,"+10 44'19""",11.8,2.40,1.47,154.81,16.24,-45.15,20231127
11,132,132 Aethra (A873 LA),11:24,13:52,16:19,04:54,02:41:04,"+33 58'36""",12.3,2.40,1.46,156.74,16.06,-23.83,20231127
12,139,139 Juewa (A874 TA),11:50,14:13,16:35,04:44,03:02:09,"+31 00'49""",12.3,2.89,1.94,162.06,11.10,-24.27,20231127
13,241,241 Germania (A884 RA),12:15,14:16,16:17,04:01,03:05:27,"+22 26'55""",12.0,2.88,1.92,165.30,4.643,-31.04,20231127
14,409,409 Aspasia (A895 XC),12:24,14:16,16:08,03:44,03:05:35,"+19 52'57""",11.5,2.76,1.80,165.23,4.623,-33.12,20231127
15,154,154 Bertha (A875 VD),12:03,14:19,16:35,04:32,03:08:44,"+28 00'53""",12.7,3.40,2.43,164.71,7.786,-26.02,20231127
16,144,144 Vibilia (A875 LA),12:59,14:31,16:04,03:05,03:20:39,"+15 26'18""",10.6,2.16,1.18,167.38,5.753,-34.40,20231127
17,895,895 Helio (A918 NA),12:06,14:37,17:08,05:02,03:26:49,"+36 50'42""",12.4,2.78,1.82,161.72,15.74,-16.59,20231127
18,363,363 Padua (A893 FD),13:05,14:53,16:42,03:36,03:43:00,"+18 53'35""",12.6,2.64,1.65,173.67,4.857,-28.27,20231127
19,481,481 Emita (A902 CB),13:11,14:54,16:37,03:26,03:43:41,"+17 43'07""",11.6,2.31,1.33,173.31,5.632,-29.01,20231127
20,182,182 Elsa (A878 CC),13:16,14:56,16:35,03:19,03:45:31,"+16 52'09""",10.9,1.96,0.981,173.20,6.513,-29.31,20231127
21,24,24 Themis (A853 GA),13:06,15:01,16:55,03:49,03:50:22,"+20 34'04""",11.5,3.07,2.08,175.75,6.042,-25.86,20231127
22,70,70 Panopaea (A861 JA),12:58,15:07,17:16,04:18,03:56:20,"+25 10'59""",11.9,2.78,1.79,174.94,8.346,-21.57,20231127
