,Designation,Full name,Rise time,Transit time,Set time,Max. time observable,R.A.,Dec.,Vmag,Helio. range (au),Topo.range (au),Object-Observer-Sun (deg),Object-Observer-Moon (deg),Galactic latitude (deg),OBSdate(UT)
0,602,602 Marianna (A906 DJ),10:09,11:27,12:46,02:36,23:20:57,"+12 58'53""",12.6,2.31,1.59,124.75,134.0,-44.25,20231113
1,678,678 Fredegundis (A909 BQ),11:04,12:01,12:58,01:54,23:55:00,"+10 14'50""",12.4,2.02,1.22,132.21,141.5,-50.22,20231113
2,120,120 Lachesis (A872 GB),11:41,13:03,14:24,02:43,00:56:50,"+13 30'38""",13.0,3.28,2.40,147.67,157.0,-49.48,20231113
3,639,639 Latona (A907 OA),11:24,13:17,15:11,03:47,01:11:31,"+20 21'26""",12.6,2.76,1.85,151.88,160.8,-42.43,20231113
4,123,123 Brunhild (A872 OB),11:36,13:28,15:20,03:44,01:22:14,"+19 55'02""",12.5,2.42,1.49,154.40,163.3,-42.54,20231113
5,135,135 Hertha (A874 DA),12:17,13:33,14:49,02:31,01:27:15,"+12 34'47""",11.3,2.18,1.25,154.67,164.0,-49.54,20231113
6,122,122 Gerda (A872 OA),13:02,13:45,14:28,01:26,01:39:40,"+08 56'25""",12.6,3.25,2.32,156.33,165.2,-52.29,20231113
7,127,127 Johanna (A872 VB),12:42,14:10,15:39,02:56,02:04:45,"+14 38'08""",12.5,2.73,1.76,164.01,173.3,-44.83,20231113
8,509,509 Iolanda (A903 HD),12:58,14:10,15:23,02:24,02:04:33,"+12 05'15""",12.4,2.79,1.83,163.19,172.1,-47.19,20231113
9,595,595 Polyxena (A906 FL),12:19,14:17,16:14,03:55,02:10:56,"+21 30'34""",12.7,3.23,2.26,165.56,173.2,-37.92,20231113
10,21,21 Lutetia (A852 VA),13:28,14:33,15:37,02:08,02:27:00,"+11 02'05""",10.3,2.25,1.28,167.60,174.2,-45.61,20231113
11,93,93 Minerva (A867 QA),12:39,14:48,16:56,04:16,02:41:57,"+24 54'22""",12.1,2.96,1.98,170.28,171.4,-31.79,20231113
12,119,119 Althaea (A872 GA),13:37,14:49,16:01,02:24,02:43:11,"+12 03'00""",11.4,2.40,1.41,171.36,174.5,-42.62,20231113
13,132,132 Aethra (A873 LA),12:31,15:03,17:34,05:03,02:57:10,"+37 18'21""",12.4,2.46,1.51,160.22,158.6,-19.36,20231113
14,139,139 Juewa (A874 TA),12:59,15:22,17:46,04:46,03:16:57,"+31 29'40""",12.3,2.92,1.95,166.16,161.9,-22.14,20231113
15,241,241 Germania (A884 RA),13:18,15:23,17:27,04:09,03:17:09,"+23 36'53""",11.7,2.87,1.89,173.90,167.2,-28.52,20231113
16,409,409 Aspasia (A895 XC),13:26,15:24,17:22,03:56,03:18:23,"+21 38'41""",11.3,2.76,1.77,175.64,167.8,-29.92,20231113
17,154,154 Bertha (A875 VD),13:12,15:28,17:44,04:31,03:22:40,"+27 51'17""",12.6,3.40,2.42,169.48,163.7,-24.38,20231113
18,90,90 Antiope (A866 TA),13:49,15:32,17:16,03:27,03:26:46,"+17 46'50""",12.8,3.13,2.14,176.04,166.7,-31.67,20231113
19,144,144 Vibilia (A875 LA),14:07,15:40,17:12,03:05,03:34:11,"+15 29'14""",10.4,2.13,1.14,173.82,164.8,-32.19,20231113
20,895,895 Helio (A918 NA),13:12,15:46,18:19,05:06,03:40:15,"+39 21'55""",12.5,2.78,1.84,157.40,152.8,-12.99,20231113
21,363,363 Padua (A893 FD),14:13,16:02,17:51,03:37,03:56:46,"+19 03'12""",12.7,2.63,1.65,168.86,159.5,-25.88,20231113
22,481,481 Emita (A902 CB),14:22,16:03,17:44,03:22,03:58:02,"+17 11'49""",11.7,2.31,1.33,168.57,159.3,-26.95,20231113
23,182,182 Elsa (A878 CC),14:23,16:04,17:46,03:23,03:59:03,"+17 19'19""",11.1,1.96,0.985,168.33,159.0,-26.69,20231113
24,24,24 Themis (A853 GA),14:11,16:08,18:04,03:52,04:02:21,"+21 06'09""",11.7,3.08,2.11,167.24,158.0,-23.51,20231113
25,70,70 Panopaea (A861 JA),14:09,16:17,18:26,04:16,04:11:55,"+24 58'01""",12.2,2.75,1.79,163.92,155.1,-19.24,20231113
26,503,503 Evelyn (A903 BL),14:26,16:17,18:08,03:41,04:11:34,"+19 31'38""",12.5,2.39,1.42,165.34,156.0,-23.02,20231113
27,65,65 Cybele (A861 EB),14:44,16:22,18:00,03:15,04:16:46,"+16 30'21""",12.5,3.82,2.86,164.04,154.7,-24.09,20231113
28,113,113 Amalthea (A871 EA),14:59,16:23,17:48,02:48,04:18:03,"+13 54'51""",12.0,2.54,1.57,163.23,154.1,-25.53,20231113
29,346,346 Hermentaria (A892 WC),15:07,16:34,18:01,02:53,04:28:45,"+14 23'29""",11.0,2.56,1.60,160.83,151.6,-23.21,20231113
30,306,306 Unitas (A891 EA),15:42,16:35,17:28,01:45,04:29:59,"+09 48'15""",12.2,2.43,1.48,159.07,150.3,-25.76,20231113
31,358,358 Apollonia (A893 EC),15:04,16:42,18:20,03:15,04:36:41,"+16 32'33""",12.6,2.44,1.49,159.30,150.0,-20.38,20231113
32,95,95 Arethusa (A867 WA),14:47,16:46,18:46,03:59,04:40:59,"+22 01'54""",11.8,2.64,1.69,158.24,149.0,-16.17,20231113
33,347,347 Pariana (A892 WD),15:15,16:46,18:17,03:02,04:40:47,"+15 12'43""",13.0,2.70,1.75,158.14,148.9,-20.40,20231113
34,758,758 Mancunia (A912 KB),15:12,16:49,18:27,03:15,04:43:59,"+16 26'31""",12.4,2.72,1.78,157.55,148.2,-19.05,20231113
35,480,480 Hansa (A901 KB),15:11,16:56,18:41,03:29,04:50:51,"+18 04'26""",11.9,2.54,1.60,156.06,146.7,-16.76,20231113
36,317,317 Roxane (A891 RD),15:22,17:14,19:06,03:44,05:08:44,"+19 56'06""",12.9,2.26,1.34,151.89,142.6,-12.24,20231113
37,160,160 Una (A876 DA),15:09,17:26,19:43,04:33,05:20:45,"+28 17'29""",13.0,2.55,1.65,148.27,139.4,-5.22,20231113
38,498,498 Tokio (A902 XA),15:57,17:34,19:12,03:15,05:29:13,"+16 30'21""",12.7,2.53,1.64,146.79,137.5,-10.08,20231113
39,389,389 Industria (A894 EE),15:20,17:39,19:58,04:38,05:33:58,"+29 23'42""",12.2,2.68,1.81,145.21,136.4,-2.20,20231113
40,159,159 Aemilia (A876 BA),16:19,17:54,19:29,03:09,05:49:02,"+15 55'21""",12.9,2.84,1.99,142.00,132.7,-6.32,20231113
41,704,704 Interamnia (A910 TC),15:50,18:15,20:41*,04:46,06:10:24,"+32 54'33""",10.9,2.78,1.98,136.91,128.3,6.29,20231113
42,37,37 Fides (A855 TB),16:00,18:16,20:32,04:32,06:10:46,"+27 59'49""",10.6,2.18,1.35,137.40,128.4,4.03,20231113
43,488,488 Kreusa (A902 MC),16:15,18:16,20:16,04:01,06:10:39,"+22 23'59""",12.8,3.01,2.21,137.51,128.3,1.32,20231113
44,776,776 Berbericia (A914 BE),16:26,18:29,20:32,04:06,06:23:57,"+23 11'40""",11.8,2.59,1.80,134.48,125.3,4.40,20231113
